org_name,total,pacs,indivs,cycle,source,cid
Democracy Engine,64700,0,64700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
Blackstone Group,41600,0,41600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
Goldman Sachs,26050,0,26050,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
WilmerHale Llp,20400,0,20400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
"Paul, Weiss et al",19500,0,19500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
Related Companies,18400,0,18400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
Penington Friends House,17400,0,17400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
"Fried, Frank et al",16500,0,16500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
Hueston Hennigan Llp,12600,0,12600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
"Quinn, Emanuel et al",12600,0,12600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051424&cycle=2022,N00051424
