industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q03,Leadership PACs,43075,288966,332041,03/20/2023,2022
W06,Retired,239154,0,239154,03/20/2023,2022
Q02,Democratic/Liberal,116050,40500,156550,03/20/2023,2022
F07,Securities & Investment,125602,9000,134602,03/20/2023,2022
Q16,Candidate Committees,0,105873,105873,03/20/2023,2022
Q09,Human Rights,16765,49337,66102,03/20/2023,2022
Q08,Women's Issues,30044,32500,62544,03/20/2023,2022
K01,Lawyers/Law Firms,45383,15500,60883,03/20/2023,2022
P04,Public Sector Unions,500,54000,54500,03/20/2023,2022
W02,Non-Profit Institutions,50456,3000,53456,03/20/2023,2022
