sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,18650,21500,40150,03/20/2023,2022
Communic/Electronics,B,44400,42300,86700,03/20/2023,2022
Construction,C,34270,37500,71770,03/20/2023,2022
Defense,D,60950,250000,310950,03/20/2023,2022
Energy/Nat Resource,E,7800,58500,66300,03/20/2023,2022
Finance/Insur/RealEst,F,154884,39500,194384,03/20/2023,2022
Health,H,17200,23000,40200,03/20/2023,2022
Lawyers & Lobbyists,K,96855,12000,108855,03/20/2023,2022
Transportation,M,40200,61500,101700,03/20/2023,2022
Misc Business,N,76425,45000,121425,03/20/2023,2022
Labor,P,0,42500,42500,03/20/2023,2022
Ideology/Single-Issue,Q,55932,96432,152364,03/20/2023,2022
Other,W,261492,2000,263492,03/20/2023,2022
