cid,firstlast,lastname,party,office,gender,first_elected,phone,website,congress_office,twitter_id,youtube_url,facebook_id,birthdate,state
N00050649,Brad Finstad,Finstad,R,MN01,M,2022,,,,,,,,MN
N00037039,Angie Craig,Craig,D,MN02,F,2018,202-225-2271,https://craig.house.gov/,1523 Longworth House Office Building,RepAngieCraig,,,2/14/72,MN
N00041134,Dean Phillips,Phillips,D,MN03,M,2018,202-225-2871,https://phillips.house.gov/,1305 Longworth House Office Building,RepDeanPhillips,,,1/20/69,MN
N00012942,Betty McCollum,Mccollum,D,MN04,F,2000,202-225-6631,http://mccollum.house.gov,2256 Rayburn House Office Building,BettyMcCollum04,,repbettymccollum,7/12/54,MN
N00043581,Ilhan Omar,Omar,D,MN05,F,2018,202-225-4755,https://omar.house.gov/,1517 Longworth House Office Building,,,,10/4/81,MN
N00035440,Tom Emmer,Emmer,R,MN06,M,2014,202-225-2331,https://emmer.house.gov,315 Cannon House Office Building,RepTomEmmer,,reptomemmer,3/3/61,MN
N00045251,Michelle Fischbach,Fischbach,R,MN07,F,2020,202225-2165,https://fischbach.house.gov/,"1237 Longworth House Office Building Washington, DC  20515",@RepFischbach,,RepFischbach,11/3/65,MN
N00041511,Pete Stauber,Stauber,R,MN08,M,2018,202-225-6211,https://stauber.house.gov/,126 Cannon House Office Building,RepPeteStauber,,,5/10/66,MN
N00042353,Tina Smith,Smith,D,MNS1,F,2018,202-224-5641,https://www.smith.senate.gov,309 Hart Senate Office Building,SenTinaSmith,,USSenTinaSmith,3/4/58,MN
N00027500,Amy Klobuchar,Klobuchar,D,MNS2,F,2006,202-224-3244,https://www.klobuchar.senate.gov,302 Hart Senate Office Building,AmyKlobuchar,https://youtube.com/senatorklobuchar,AmyKlobuchar,5/25/60,MN
N00006460,David Schweikert,Schweikert,R,AZ01,M,2010,202-225-2190,https://schweikert.house.gov,2059 Rayburn House Office Building,RepDavid,https://youtube.com/RepDavidSchweikert,repdavidschweikert,3/3/62,AZ
N00048953,Eli Crane,Crane,R,AZ02,M,2022,,,,,,,,AZ
N00036097,Ruben Gallego,Gallego,D,AZ03,M,2014,202-225-4065,https://rubengallego.house.gov,1218 Longworth House Office Building,RepRubenGallego,,RepRubenGallego,11/20/79,AZ
N00041750,Greg Stanton,Stanton,D,AZ04,M,2018,202-225-9888,https://stanton.house.gov/,128 Cannon House Office Building,RepGregStanton,,,3/8/70,AZ
N00039293,Andy Biggs,Biggs,R,AZ05,M,2016,202-225-2635,https://biggs.house.gov,1626 Longworth House Office Building,RepAndyBiggsAZ,,RepAndyBiggs,11/7/58,AZ
N00049039,Juan Ciscomani,Ciscomani,R,AZ06,M,2022,,,,,,,,AZ
N00025284,Raul M Grijalva,Grijalva,D,AZ07,M,2002,202-225-2435,https://grijalva.house.gov,1511 Longworth House Office Building,RepRaulGrijalva,https://youtube.com/raulgrijalvaaz07,Rep.Grijalva,2/19/48,AZ
N00042056,Debbie Lesko,Lesko,R,AZ08,F,2018,202-225-4576,https://lesko.house.gov/,1113 Longworth House Office Building,RepDLesko,,RepDebbieLesko,11/14/58,AZ
N00030771,Paul Gosar,Gosar,R,AZ09,M,2010,202-225-2315,http://gosar.house.gov,2057 Rayburn House Office Building,RepGosar,https://youtube.com/repgosar,repgosar,11/22/58,AZ
N00044223,Mark Kelly,Kelly,D,AZS1,M,2020,202224-2235,https://www.kelly.senate.gov/,"Dirksen Senate Office Building Suite B40B   Washington, DC 20510",@SenMarkKelly,,,2/21/64,AZ
N00033983,Kyrsten Sinema,Sinema,I,AZS2,F,2018,202-225-9888,https://sinema.house.gov,1725 Longworth House Office Building,RepSinema,https://youtube.com/repsinema,CongresswomanSinema,7/12/76,AZ
N00030693,Suzan DelBene,Delbene,D,WA01,F,2012,202-225-6311,https://delbene.house.gov,2442 Rayburn House Office Building,RepDelBene,,RepDelBene,2/17/62,WA
N00009759,Rick Larsen,Larsen,D,WA02,M,2000,202-225-2605,http://larsen.house.gov,2113 Rayburn House Office Building,RepRickLarsen,https://youtube.com/congressmanlarsen,RepRickLarsen,6/15/65,WA
N00050490,Marie Gluesenkamp Perez,Perez,D,WA03,F,2022,,,,,,,,WA
N00036403,Dan Newhouse,Newhouse,R,WA04,M,2014,202-225-5816,https://newhouse.house.gov,1318 Longworth House Office Building,RepNewhouse,,RepNewhouse,7/10/55,WA
N00026314,Cathy McMorris Rodgers,Rodgers,R,WA05,F,2004,202-225-2006,http://mcmorris.house.gov,1314 Longworth House Office Building,CathyMcMorris,https://youtube.com/mcmorrisrodgers,mcmorrisrodgers,5/22/69,WA
N00034453,Derek Kilmer,Kilmer,D,WA06,M,2012,202-225-5916,https://kilmer.house.gov,1520 Longworth House Office Building,RepDerekKilmer,,derek.kilmer,1/1/74,WA
N00038858,Pramila Jayapal,Jayapal,D,WA07,F,2016,202-225-3106,https://jayapal.house.gov,319 Cannon House Office Building,RepJayapal,,RepJayapal,9/21/65,WA
N00041606,Kim Schrier,Schrier,D,WA08,F,2018,202-225-7761,https://schrier.house.gov/,1123 Longworth House Office Building,RepKimSchrier,,,8/23/68,WA
N00007833,Adam Smith,Smith,D,WA09,M,1996,202-225-8901,https://adamsmith.house.gov,2264 Rayburn House Office Building,RepAdamSmith,https://youtube.com/CongressmanAdamSmith,RepAdamSmith,6/15/65,WA
N00046320,Marilyn Strickland,Strickland,D,WA10,F,2020,202225-9740,https://strickland.house.gov/,"1004 Longworth House Office Building Washington, DC  20515",@RepStricklandWA,,,9/25/62,WA
N00007836,Maria Cantwell,Cantwell,D,WAS1,F,2000,202-224-3441,https://www.cantwell.senate.gov,511 Hart Senate Office Building,SenatorCantwell,https://youtube.com/SenatorCantwell,senatorcantwell,10/13/58,WA
N00007876,Patty Murray,Murray,D,WAS2,F,1992,202-224-2621,https://www.murray.senate.gov/public,154 Russell Senate Office Building,PattyMurray,https://youtube.com/SenatorPattyMurray,pattymurray,10/11/50,WA
N00041542,Carol Miller,Miller,R,WV01,F,2018,202-225-3452,https://miller.house.gov/,1605 Longworth House Office Building,,,,11/4/50,WV
N00033814,Alex Mooney,Mooney,R,WV02,M,2014,202-225-2711,https://mooney.house.gov,1232 Longworth House Office Building,RepAlexMooney,,CongressmanAlexMooney,6/5/71,WV
N00032838,Joe Manchin,Manchin,D,WVS1,M,2010,202-224-3954,https://www.manchin.senate.gov/public,306 Hart Senate Office Building,Sen_JoeManchin,https://youtube.com/SenatorJoeManchin,JoeManchinIII,8/24/47,WV
N00009771,Shelley Moore Capito,Capito,R,WVS2,F,2014,202-224-6472,https://www.capito.senate.gov,172 Russell Senate Office Building,SenCapito,https://youtube.com/UCbiXdR4XQ3vD9Xp5lfR9QXw,senshelley,11/26/53,WV
N00044245,Jerry Carl,Carl,R,AL01,M,2020,202225-4931,https://carl.house.gov/,"1330 Longworth House Office Building, Washington, DC 20515",@RepJerryCarl,,RepJerryCarl,6/17/58,AL
N00041295,Barry Moore,Moore,R,AL02,M,2020,202225-2901,https://barrymoore.house.gov/,"1504 Longworth House Office Building, Washington, DC 20515",@RepBarryMoore,,,9/2/66,AL
N00024759,Mike D Rogers,Rogers,R,AL03,M,2002,202-225-3261,https://mikerogers.house.gov,2184 Rayburn House Office Building,RepMikeRogersAL,https://youtube.com/MikeRogersAL03,CongressmanMikeDRogers,7/16/58,AL
N00003028,Robert B Aderholt,Aderholt,R,AL04,M,1996,202-225-4876,https://aderholt.house.gov,235 Cannon House Office Building,Robert_Aderholt,https://youtube.com/RobertAderholt,RobertAderholt,7/22/65,AL
N00048145,Dale Strong,Strong,R,AL05,M,2022,,,,,,,,AL
N00035691,Gary Palmer,Palmer,R,AL06,M,2014,202-225-4921,https://palmer.house.gov,330 Cannon House Office Building,USRepGaryPalmer,,CongressmanGaryPalmer,5/14/54,AL
N00030622,Terri Sewell,Sewell,D,AL07,F,2010,202-225-2665,https://sewell.house.gov,2201 Rayburn House Office Building,RepTerriSewell,https://youtube.com/RepSewell,RepSewell,1/1/65,AL
N00044434,Tommy Tuberville,Tuberville,R,ALS1,M,2020,202224-4124,https://www.tuberville.senate.gov/,"Dirksen Senate Office Building Suite B40A   Washington, DC 20510",@SenTuberville,,,9/18/54,AL
N00048812,Katie Britt,Britt,R,ALS2,F,2022,,,,,,,,AL
N00049636,Don Davis,Davis,D,NC01,M,2022,,,,,,,,NC
N00038565,Deborah Ross,Ross,D,NC02,F,2020,202225-3032,https://ross.house.gov/,"1208 Longworth House Office Building Washington, DC  20515",@RepDeborahRoss,,,6/20/63,NC
N00044027,Greg Murphy,Murphy,R,NC03,M,2019,,,,,,,,NC
N00049652,Valerie Foushee,Foushee,D,NC04,F,2022,,,,,,,,NC
N00026166,Virginia Foxx,Foxx,R,NC05,F,2004,202-225-2071,http://foxx.house.gov,2262 Rayburn House Office Building,VirginiaFoxx,https://youtube.com/repvirginiafoxx,RepVirginiaFoxx,6/29/43,NC
N00042159,Kathy Manning,Manning,D,NC06,F,2020,202225-3065,https://manning.house.gov/,"415 Cannon House Office Building Washington, DC  20515",@RepKManning,,,12/3/56,NC
N00033527,David Rouzer,Rouzer,R,NC07,M,2014,202-225-2731,https://rouzer.house.gov,424 Cannon House Office Building,RepDavidRouzer,,RepRouzer,2/16/72,NC
N00044335,Dan Bishop,Bishop,R,NC08,M,2019,,,,,,,,NC
N00033630,Richard Hudson,Hudson,R,NC09,M,2012,202-225-3715,https://hudson.house.gov,429 Cannon House Office Building,RepRichHudson,https://youtube.com/RepRichHudson,RepRichHudson,11/4/71,NC
N00026627,Patrick McHenry,Mchenry,R,NC10,M,2004,202-225-2576,http://mchenry.house.gov,2334 Rayburn House Office Building,PatrickMcHenry,https://youtube.com/CongressmanMcHenry,CongressmanMcHenry,10/22/75,NC
N00049670,Chuck Edwards,Edwards,R,NC11,M,2022,,,,,,,,NC
