cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00039373,Cori Bush,Bush,D,MO01,F,2020,0,,202225-2406,202226-3717,https://bush.house.gov/,,563 Cannon House Office Building,B001224,,,@RepCori,,RepCori,07/21/76
N00033106,Ann Wagner,Wagner,R,MO02,F,2012,0,,202-225-1621,202-225-2563,http://wagner.house.gov,https://wagner.house.gov/contact/email-me,435 Cannon House Office Building,W000812,136083,H2MO02102,RepAnnWagner,,RepAnnWagner,1962-09-13
N00030026,Blaine Luetkemeyer,Luetkemeyer,R,MO03,M,2008,0,,202-225-2956,202-225-5712,http://luetkemeyer.house.gov,https://luetkemeyer.house.gov/forms/writeyourrep/,2230 Rayburn House Office Building,L000569,20400,H8MO09153,RepBlainePress,https://youtube.com/BLuetkemeyer,BlaineLuetkemeyer,1952-05-07
N00049617,Mark Alford,Alford,R,MO04,M,2022,0,,,,,,,A000379,,H2MO04207,,,,
N00026790,Emanuel Cleaver,Cleaver,D,MO05,M,2004,0,,202-225-4535,202-225-4403,http://cleaver.house.gov,https://cleaver.house.gov/contact/email-me,2335 Rayburn House Office Building,C001061,39507,H4MO05234,RepCleaver,https://youtube.com/repcleaver,emanuelcleaverii,1944-10-26
N00013323,Sam Graves,Graves,R,MO06,M,2000,0,,202-225-7041,202-225-8221,https://graves.house.gov,https://gravesforms.house.gov/email-sam,1135 Longworth House Office Building,G000546,9425,H0MO06073,RepSamGraves,,118514606128,1963-11-07
N00049123,Eric Burlison,Burlison,R,MO07,M,2022,0,,,,,,,B001316,,H2MO07143,,,,
N00035282,Jason Smith,Smith,R,MO08,M,2013,0,,202-225-4404,202-226-0326,https://jasonsmith.house.gov,https://jasonsmith.house.gov/contact/email-me,1118 Longworth House Office Building,S001195,59318,H4MO08162,RepJasonSmith,https://youtube.com/RepJasonSmith,repjasonsmith,1980-06-16
N00048414,Eric Schmitt,Schmitt,R,MOS1,M,2022,0,,,,,,,S001227,,S2MO00544,,,,
N00041620,Josh Hawley,Hawley,R,MOS2,M,2018,0,,202-224-6154,,https://www.hawley.senate.gov,,B40a Dirksen Senate Office Building,H001089,,S8MO00160,,,,1979-12-31
