cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00043379,Bryan Steil,Steil,R,WI01,M,2018,0,,202-225-3031,,https://steil.house.gov/,,1408 Longworth House Office Building,S001213,,H8WI01156,RepBryanSteil,,,1981-03-30
N00033549,Mark Pocan,Pocan,D,WI02,M,2012,0,,202-225-2906,202-225-6942,http://pocan.house.gov,https://pocan.house.gov/contact/email-me,1421 Longworth House Office Building,P000607,26238,H2WI02124,RepMarkPocan,https://youtube.com/repmarkpocan,repmarkpocan,1964-08-14
N00046843,Derrick Van Orden,Van Orden,R,WI03,M,2022,0,,,,,,,V000135,,H0WI03175,,,,
N00026914,Gwen Moore,Moore,D,WI04,F,2004,0,,202-225-4572,202-225-8135,https://gwenmoore.house.gov,https://gwenmoore.house.gov/contact-form,2252 Rayburn House Office Building,M001160,3457,H4WI04183,RepGwenMoore,https://youtube.com/RepGwenMoore,GwenSMoore,1951-04-18
N00045434,Scott Fitzgerald,Fitzgerald,R,WI05,M,2020,0,,202225-5101,,https://fitzgerald.house.gov/,,"1507 Longworth House Office Building, Washington, DC 20515",F000471,3446,,@RepFitzgerald,,CongressmanScottFitzgerald,11/16/63
N00036409,Glenn Grothman,Grothman,R,WI06,M,2014,0,,202-225-2476,202-225-2356,http://grothman.house.gov,,1217 Longworth House Office Building,G000576,,H4WI06048,RepGrothman,,RepGrothman,1955-07-03
N00045307,Tom Tiffany,Tiffany,R,WI07,M,2020,0,,,,,,,,,,,,,
N00039330,Mike Gallagher,Gallagher,R,WI08,M,2016,0,,202-225-5665,,https://gallagher.house.gov,,1007 Longworth House Office Building,G000579,,H6WI08155,RepGallagher,,RepMikeGallagher,1984-03-03
N00004367,Tammy Baldwin,Baldwin,D,WIS1,F,2012,0,,202-224-5653,202-225-6942,https://www.baldwin.senate.gov,https://www.baldwin.senate.gov/feedback,709 Hart,B001230,3470,H8WI00018,SenatorBaldwin,https://youtube.com/witammybaldwin,TammyBaldwin,1962-02-11
N00032546,Ron Johnson,Johnson,R,WIS2,M,2010,0,,202-224-5323,920-230-7262,https://www.ronjohnson.senate.gov,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,328 Hart Senate Office Building,J000293,126217,S0WI00197,SenRonJohnson,https://youtube.com/SenatorRonJohnson,senronjohnson,1955-04-08
