org_name,total,pacs,indivs,cycle,source,cid
Democracy Engine,404122,0,404122,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
University of Arizona,124833,0,124833,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
JStreetPAC,120601,0,120601,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
Google Inc,111255,0,111255,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
Arizona State University,101873,0,101873,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
Apple Inc,69118,0,69118,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
Microsoft Corp,67455,0,67455,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
US Government,61014,0,61014,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
Kirkland & Ellis,56500,0,56500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
Stanford University,51709,0,51709,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044223&cycle=2022,N00044223
