industry_code,industry_name,indivs,pacs,total,last_updated,cycle,cid
K02,Lobbyists,81693,500,82193,03/20/2023,2022,N00000179
W06,Retired,66125,0,66125,03/20/2023,2022,N00000179
P01,Building Trade Unions,500,62500,63000,03/20/2023,2022,N00000179
K01,Lawyers/Law Firms,34226,24250,58476,03/20/2023,2022,N00000179
P04,Public Sector Unions,0,53000,53000,03/20/2023,2022,N00000179
F10,Real Estate,28322,15000,43322,03/20/2023,2022,N00000179
W04,Education,35044,0,35044,03/20/2023,2022,N00000179
H01,Health Professionals,16460,14000,30460,03/20/2023,2022,N00000179
P03,Transportation Unions,0,30000,30000,03/20/2023,2022,N00000179
A01,Crop Production & Basic Processing,1200,24000,25200,03/20/2023,2022,N00000179
E01,Oil & Gas,11258,85000,96258,03/20/2023,2022,N00012233
B09,Telecom Services,11600,82400,94000,03/20/2023,2022,N00012233
E08,Electric Utilities,500,79500,80000,03/20/2023,2022,N00012233
H04,Pharmaceuticals/Health Products,500,62500,63000,03/20/2023,2022,N00012233
H01,Health Professionals,14710,46500,61210,03/20/2023,2022,N00012233
F09,Insurance,3550,54000,57550,03/20/2023,2022,N00012233
W06,Retired,56753,0,56753,03/20/2023,2022,N00012233
B12,Electronics Mfg & Equip,500,48500,49000,03/20/2023,2022,N00012233
M02,Automotive,1750,42500,44250,03/20/2023,2022,N00012233
H03,Health Services/HMOs,2530,40000,42530,03/20/2023,2022,N00012233
K01,Lawyers/Law Firms,433502,5000,438502,03/20/2023,2022,N00044908
W06,Retired,254212,0,254212,03/20/2023,2022,N00044908
F07,Securities & Investment,207820,0,207820,03/20/2023,2022,N00044908
W04,Education,175610,0,175610,03/20/2023,2022,N00044908
F10,Real Estate,162525,8000,170525,03/20/2023,2022,N00044908
B02,TV/Movies/Music,107515,2500,110015,03/20/2023,2022,N00044908
Q03,Leadership PACs,0,89901,89901,03/20/2023,2022,N00044908
Q05,Pro-Israel,76290,0,76290,03/20/2023,2022,N00044908
W02,Non-Profit Institutions,71850,0,71850,03/20/2023,2022,N00044908
B01,Printing & Publishing,71535,0,71535,03/20/2023,2022,N00044908
F07,Securities & Investment,506000,261820,767820,03/20/2023,2022,N00026627
F09,Insurance,103900,309500,413400,03/20/2023,2022,N00026627
F03,Commercial Banks,146265,214200,360465,03/20/2023,2022,N00026627
Q10,Misc Issues,200800,9275,210075,03/20/2023,2022,N00026627
F10,Real Estate,67850,106900,174750,03/20/2023,2022,N00026627
K02,Lobbyists,145400,0,145400,03/20/2023,2022,N00026627
F13,Misc Finance,38100,89500,127600,03/20/2023,2022,N00026627
B13,Internet,72550,29500,102050,03/20/2023,2022,N00026627
F06,Finance/Credit Companies,5900,88500,94400,03/20/2023,2022,N00026627
K01,Lawyers/Law Firms,43250,41000,84250,03/20/2023,2022,N00026627
H01,Health Professionals,109151,175500,284651,03/20/2023,2022,N00043242
H04,Pharmaceuticals/Health Products,7300,88000,95300,03/20/2023,2022,N00043242
H03,Health Services/HMOs,7050,47000,54050,03/20/2023,2022,N00043242
H02,Hospitals/Nursing Homes,26500,26400,52900,03/20/2023,2022,N00043242
E01,Oil & Gas,5400,44000,49400,03/20/2023,2022,N00043242
W06,Retired,45785,0,45785,03/20/2023,2022,N00043242
Q03,Leadership PACs,0,42400,42400,03/20/2023,2022,N00043242
E08,Electric Utilities,500,41500,42000,03/20/2023,2022,N00043242
C05,Building Materials & Equipment,33500,7000,40500,03/20/2023,2022,N00043242
N03,Retail Sales,27200,13000,40200,03/20/2023,2022,N00043242
A01,Crop Production & Basic Processing,60200,106500,166700,03/20/2023,2022,N00005559
E01,Oil & Gas,38100,69000,107100,03/20/2023,2022,N00005559
F09,Insurance,21550,62500,84050,03/20/2023,2022,N00005559
Q03,Leadership PACs,0,78000,78000,03/20/2023,2022,N00005559
F03,Commercial Banks,42250,34000,76250,03/20/2023,2022,N00005559
A07,Agricultural Services/Products,5750,60900,66650,03/20/2023,2022,N00005559
F07,Securities & Investment,24923,39500,64423,03/20/2023,2022,N00005559
F10,Real Estate,10550,46500,57050,03/20/2023,2022,N00005559
M01,Air Transport,3000,38400,41400,03/20/2023,2022,N00005559
K02,Lobbyists,39550,1500,41050,03/20/2023,2022,N00005559
F07,Securities & Investment,130390,135000,265390,03/20/2023,2022,N00029070
F09,Insurance,6055,172500,178555,03/20/2023,2022,N00029070
F03,Commercial Banks,12250,118500,130750,03/20/2023,2022,N00029070
W06,Retired,100663,0,100663,03/20/2023,2022,N00029070
F10,Real Estate,32935,66500,99435,03/20/2023,2022,N00029070
F11,Accountants,2900,48500,51400,03/20/2023,2022,N00029070
K01,Lawyers/Law Firms,28975,18000,46975,03/20/2023,2022,N00029070
Q05,Pro-Israel,31400,9900,41300,03/20/2023,2022,N00029070
F13,Misc Finance,2500,26500,29000,03/20/2023,2022,N00029070
F06,Finance/Credit Companies,500,27500,28000,03/20/2023,2022,N00029070
Q01,Republican/Conservative,217372,34060,251432,03/20/2023,2022,N00048277
W06,Retired,231582,0,231582,03/20/2023,2022,N00048277
Q03,Leadership PACs,0,116800,116800,03/20/2023,2022,N00048277
