industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,217589,0,217589,06/10/2019,2018
Q03,Leadership PACs,0,210832,210832,06/10/2019,2018
F07,Securities & Investment,91300,15500,106800,06/10/2019,2018
N01,Food & Beverage,58825,34200,93025,06/10/2019,2018
F10,Real Estate,72260,19500,91760,06/10/2019,2018
H01,Health Professionals,16780,67000,83780,06/10/2019,2018
C01,General Contractors,38150,21500,59650,06/10/2019,2018
A10,Forestry & Forest Products,24640,35000,59640,06/10/2019,2018
Q16,Candidate Committees,0,54700,54700,06/10/2019,2018
Q01,Republican/Conservative,22460,27500,49960,06/10/2019,2018
