industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q05,Pro-Israel,726645,30050,756695,03/20/2023,2022
K01,Lawyers/Law Firms,82066,2000,84066,03/20/2023,2022
F10,Real Estate,48609,2500,51109,03/20/2023,2022
F07,Securities & Investment,42716,0,42716,03/20/2023,2022
Q03,Leadership PACs,0,37000,37000,03/20/2023,2022
W06,Retired,33451,0,33451,03/20/2023,2022
K02,Lobbyists,27150,1500,28650,03/20/2023,2022
W04,Education,25376,0,25376,03/20/2023,2022
P01,Building Trade Unions,0,22500,22500,03/20/2023,2022
N05,Business Services,20016,0,20016,03/20/2023,2022
