sector_name,sectorid,indivs,pacs,total,last_updated,cycle,cid
Agribusiness,A,895,58000,58895,06/10/2019,2018,N00000179
Communic/Electronics,B,12354,29090,41444,06/10/2019,2018,N00000179
Construction,C,17023,10000,27023,06/10/2019,2018,N00000179
Defense,D,235,26000,26235,06/10/2019,2018,N00000179
Energy/Nat Resource,E,7535,15500,23035,06/10/2019,2018,N00000179
Finance/Insur/RealEst,F,33295,57000,90295,06/10/2019,2018,N00000179
Health,H,18561,69500,88061,06/10/2019,2018,N00000179
Lawyers & Lobbyists,K,63813,25500,89313,06/10/2019,2018,N00000179
Transportation,M,2266,63500,65766,06/10/2019,2018,N00000179
Misc Business,N,31696,39583,71279,06/10/2019,2018,N00000179
Labor,P,2325,171000,173325,06/10/2019,2018,N00000179
Ideology/Single-Issue,Q,9029,28081,37110,06/10/2019,2018,N00000179
Other,W,78795,2000,80795,06/10/2019,2018,N00000179
Agribusiness,A,20950,46998,67948,06/10/2019,2018,N00012233
Communic/Electronics,B,31450,199500,230950,06/10/2019,2018,N00012233
Construction,C,7680,30000,37680,06/10/2019,2018,N00012233
Defense,D,0,11500,11500,06/10/2019,2018,N00012233
Energy/Nat Resource,E,27275,179450,206725,06/10/2019,2018,N00012233
Finance/Insur/RealEst,F,31400,121500,152900,06/10/2019,2018,N00012233
Health,H,14300,148000,162300,06/10/2019,2018,N00012233
Lawyers & Lobbyists,K,55450,24726,80176,06/10/2019,2018,N00012233
Transportation,M,9150,93995,103145,06/10/2019,2018,N00012233
Misc Business,N,51500,158339,209839,06/10/2019,2018,N00012233
Labor,P,0,10000,10000,06/10/2019,2018,N00012233
Ideology/Single-Issue,Q,5770,48635,54405,06/10/2019,2018,N00012233
Other,W,46915,1000,47915,06/10/2019,2018,N00012233
Agribusiness,A,40126,0,40126,06/10/2019,2018,N00041870
Communic/Electronics,B,293266,0,293266,06/10/2019,2018,N00041870
Construction,C,73961,2000,75961,06/10/2019,2018,N00041870
Defense,D,1990,0,1990,06/10/2019,2018,N00041870
Energy/Nat Resource,E,50720,0,50720,06/10/2019,2018,N00041870
Finance/Insur/RealEst,F,737968,10000,747968,06/10/2019,2018,N00041870
Health,H,220600,4000,224600,06/10/2019,2018,N00041870
Lawyers & Lobbyists,K,594293,18000,612293,06/10/2019,2018,N00041870
Transportation,M,28742,0,28742,06/10/2019,2018,N00041870
Misc Business,N,303108,5000,308108,06/10/2019,2018,N00041870
Labor,P,7375,364550,371925,06/10/2019,2018,N00041870
Ideology/Single-Issue,Q,173701,257629,431330,06/10/2019,2018,N00041870
Other,W,1008747,0,1008747,06/10/2019,2018,N00041870
Agribusiness,A,16000,83450,99450,06/10/2019,2018,N00026627
Communic/Electronics,B,53200,144400,197600,06/10/2019,2018,N00026627
Construction,C,33150,55500,88650,06/10/2019,2018,N00026627
Defense,D,3700,69000,72700,06/10/2019,2018,N00026627
Energy/Nat Resource,E,37700,112000,149700,06/10/2019,2018,N00026627
Finance/Insur/RealEst,F,719450,998056,1717506,06/10/2019,2018,N00026627
Health,H,107030,221500,328530,06/10/2019,2018,N00026627
Lawyers & Lobbyists,K,271050,19750,290800,06/10/2019,2018,N00026627
Transportation,M,28200,101500,129700,06/10/2019,2018,N00026627
Misc Business,N,186150,199000,385150,06/10/2019,2018,N00026627
Labor,P,0,22500,22500,06/10/2019,2018,N00026627
Ideology/Single-Issue,Q,112500,39749,152249,06/10/2019,2018,N00026627
Other,W,84420,1000,85420,06/10/2019,2018,N00026627
Agribusiness,A,9600,1500,11100,06/10/2019,2018,N00043242
Communic/Electronics,B,500,16000,16500,06/10/2019,2018,N00043242
Construction,C,33300,19000,52300,06/10/2019,2018,N00043242
Defense,D,2000,1000,3000,06/10/2019,2018,N00043242
Energy/Nat Resource,E,500,14500,15000,06/10/2019,2018,N00043242
Finance/Insur/RealEst,F,12800,27500,40300,06/10/2019,2018,N00043242
Health,H,36200,86000,122200,06/10/2019,2018,N00043242
Lawyers & Lobbyists,K,7750,0,7750,06/10/2019,2018,N00043242
Transportation,M,7750,13500,21250,06/10/2019,2018,N00043242
Misc Business,N,9950,23000,32950,06/10/2019,2018,N00043242
Labor,P,0,34500,34500,06/10/2019,2018,N00043242
Ideology/Single-Issue,Q,0,158676,158676,06/10/2019,2018,N00043242
Other,W,19850,0,19850,06/10/2019,2018,N00043242
Agribusiness,A,22600,283500,306100,06/10/2019,2018,N00005559
Communic/Electronics,B,0,28680,28680,06/10/2019,2018,N00005559
Construction,C,1000,28500,29500,06/10/2019,2018,N00005559
Defense,D,0,29000,29000,06/10/2019,2018,N00005559
Energy/Nat Resource,E,3500,80100,83600,06/10/2019,2018,N00005559
Finance/Insur/RealEst,F,40500,361000,401500,06/10/2019,2018,N00005559
Health,H,2000,12000,14000,06/10/2019,2018,N00005559
Lawyers & Lobbyists,K,26020,10750,36770,06/10/2019,2018,N00005559
Transportation,M,1000,20500,21500,06/10/2019,2018,N00005559
Misc Business,N,22000,65423,87423,06/10/2019,2018,N00005559
Labor,P,0,1000,1000,06/10/2019,2018,N00005559
Ideology/Single-Issue,Q,2000,31200,33200,06/10/2019,2018,N00005559
Agribusiness,A,87334,422143,509477,06/10/2019,2018,N00034784
Communic/Electronics,B,8350,80250,88600,06/10/2019,2018,N00034784
Construction,C,50215,159750,209965,06/10/2019,2018,N00034784
Defense,D,1500,11000,12500,06/10/2019,2018,N00034784
Energy/Nat Resource,E,5600,167000,172600,06/10/2019,2018,N00034784
Finance/Insur/RealEst,F,154406,269750,424156,06/10/2019,2018,N00034784
Health,H,60400,203800,264200,06/10/2019,2018,N00034784
Lawyers & Lobbyists,K,105873,47000,152873,06/10/2019,2018,N00034784
Transportation,M,38545,269010,307555,06/10/2019,2018,N00034784
Misc Business,N,97025,225876,322901,06/10/2019,2018,N00034784
Labor,P,0,222200,222200,06/10/2019,2018,N00034784
Ideology/Single-Issue,Q,31665,369961,401626,06/10/2019,2018,N00034784
Other,W,104642,9000,113642,06/10/2019,2018,N00034784
Agribusiness,A,6785,14000,20785,06/10/2019,2018,N00029070
Communic/Electronics,B,31317,61250,92567,06/10/2019,2018,N00029070
Construction,C,9871,5000,14871,06/10/2019,2018,N00029070
Defense,D,2010,58000,60010,06/10/2019,2018,N00029070
Energy/Nat Resource,E,331,8000,8331,06/10/2019,2018,N00029070
Finance/Insur/RealEst,F,182182,594200,776382,06/10/2019,2018,N00029070
Health,H,12162,60500,72662,06/10/2019,2018,N00029070
Lawyers & Lobbyists,K,55150,16500,71650,06/10/2019,2018,N00029070
Transportation,M,206,19200,19406,06/10/2019,2018,N00029070
Misc Business,N,84567,77523,162090,06/10/2019,2018,N00029070
Labor,P,5030,33000,38030,06/10/2019,2018,N00029070
Ideology/Single-Issue,Q,46791,19233,66024,06/10/2019,2018,N00029070
Other,W,176104,0,176104,06/10/2019,2018,N00029070
Agribusiness,A,7700,24000,31700,06/10/2019,2018,N00036018
Communic/Electronics,B,58427,54920,113347,06/10/2019,2018,N00036018
Construction,C,10926,29000,39926,06/10/2019,2018,N00036018
Defense,D,25025,110200,135225,06/10/2019,2018,N00036018
Energy/Nat Resource,E,27692,36500,64192,06/10/2019,2018,N00036018
Finance/Insur/RealEst,F,186768,131500,318268,06/10/2019,2018,N00036018
Health,H,24193,78500,102693,06/10/2019,2018,N00036018
Lawyers & Lobbyists,K,198375,30473,228848,06/10/2019,2018,N00036018
Transportation,M,54776,79500,134276,06/10/2019,2018,N00036018
Misc Business,N,93566,81000,174566,06/10/2019,2018,N00036018
Labor,P,108,69500,69608,06/10/2019,2018,N00036018
Ideology/Single-Issue,Q,47075,34264,81339,06/10/2019,2018,N00036018
Other,W,271260,1000,272260,06/10/2019,2018,N00036018
Agribusiness,A,21700,12241,33941,06/10/2019,2018,N00029662
Communic/Electronics,B,0,8005,8005,06/10/2019,2018,N00029662
Construction,C,14800,13000,27800,06/10/2019,2018,N00029662
Defense,D,12250,53500,65750,06/10/2019,2018,N00029662
Energy/Nat Resource,E,4000,9500,13500,06/10/2019,2018,N00029662
Finance/Insur/RealEst,F,59650,143000,202650,06/10/2019,2018,N00029662
Health,H,43651,28500,72151,06/10/2019,2018,N00029662
Lawyers & Lobbyists,K,11200,6000,17200,06/10/2019,2018,N00029662
Transportation,M,3500,29500,33000,06/10/2019,2018,N00029662
Misc Business,N,23300,24363,47663,06/10/2019,2018,N00029662
Labor,P,0,5000,5000,06/10/2019,2018,N00029662
Ideology/Single-Issue,Q,125300,17530,142830,06/10/2019,2018,N00029662
Other,W,76075,0,76075,06/10/2019,2018,N00029662
Agribusiness,A,1250,27500,28750,06/10/2019,2018,N00026790
Communic/Electronics,B,42940,49000,91940,06/10/2019,2018,N00026790
Construction,C,12350,26000,38350,06/10/2019,2018,N00026790
Defense,D,2825,15000,17825,06/10/2019,2018,N00026790
Energy/Nat Resource,E,2050,10000,12050,06/10/2019,2018,N00026790
Finance/Insur/RealEst,F,29859,416500,446359,06/10/2019,2018,N00026790
Health,H,20505,32500,53005,06/10/2019,2018,N00026790
Lawyers & Lobbyists,K,43950,24500,68450,06/10/2019,2018,N00026790
Transportation,M,50,14500,14550,06/10/2019,2018,N00026790
Misc Business,N,21325,39500,60825,06/10/2019,2018,N00026790
Labor,P,2500,159100,161600,06/10/2019,2018,N00026790
Ideology/Single-Issue,Q,8855,48500,57355,06/10/2019,2018,N00026790
Other,W,25730,1000,26730,06/10/2019,2018,N00026790
Agribusiness,A,5700,86000,91700,06/10/2019,2018,N00033410
Communic/Electronics,B,4000,92000,96000,06/10/2019,2018,N00033410
Construction,C,29050,32500,61550,06/10/2019,2018,N00033410
Defense,D,1000,18000,19000,06/10/2019,2018,N00033410
Energy/Nat Resource,E,32950,232100,265050,06/10/2019,2018,N00033410
Finance/Insur/RealEst,F,54200,91000,145200,06/10/2019,2018,N00033410
Health,H,20020,215343,235363,06/10/2019,2018,N00033410
Lawyers & Lobbyists,K,49250,12250,61500,06/10/2019,2018,N00033410
Transportation,M,11950,79500,91450,06/10/2019,2018,N00033410
Misc Business,N,43662,93500,137162,06/10/2019,2018,N00033410
Labor,P,1250,4000,5250,06/10/2019,2018,N00033410
Ideology/Single-Issue,Q,106450,81990,188440,06/10/2019,2018,N00033410
Other,W,12800,1000,13800,06/10/2019,2018,N00033410
Agribusiness,A,7666,41150,48816,06/10/2019,2018,N00027459
Communic/Electronics,B,8351,148930,157281,06/10/2019,2018,N00027459
Construction,C,50,7000,7050,06/10/2019,2018,N00027459
Defense,D,0,19500,19500,06/10/2019,2018,N00027459
Energy/Nat Resource,E,8100,58000,66100,06/10/2019,2018,N00027459
Finance/Insur/RealEst,F,15953,54000,69953,06/10/2019,2018,N00027459
Health,H,20352,265806,286158,06/10/2019,2018,N00027459
Lawyers & Lobbyists,K,52969,45150,98119,06/10/2019,2018,N00027459
Transportation,M,1252,24000,25252,06/10/2019,2018,N00027459
Misc Business,N,12698,54267,66965,06/10/2019,2018,N00027459
Labor,P,0,85500,85500,06/10/2019,2018,N00027459
Ideology/Single-Issue,Q,9535,7037,16572,06/10/2019,2018,N00027459
Other,W,47946,0,47946,06/10/2019,2018,N00027459
Agribusiness,A,7710,76500,84210,06/10/2019,2018,N00003288
Communic/Electronics,B,8337,68500,76837,06/10/2019,2018,N00003288
Construction,C,7251,13500,20751,06/10/2019,2018,N00003288
Defense,D,0,55500,55500,06/10/2019,2018,N00003288
Energy/Nat Resource,E,2250,61000,63250,06/10/2019,2018,N00003288
Finance/Insur/RealEst,F,16917,61500,78417,06/10/2019,2018,N00003288
Health,H,8770,25500,34270,06/10/2019,2018,N00003288
Lawyers & Lobbyists,K,47610,28000,75610,06/10/2019,2018,N00003288
Transportation,M,14500,91500,106000,06/10/2019,2018,N00003288
Misc Business,N,14502,89696,104198,06/10/2019,2018,N00003288
Labor,P,0,240500,240500,06/10/2019,2018,N00003288
Ideology/Single-Issue,Q,7000,10001,17001,06/10/2019,2018,N00003288
Other,W,11740,0,11740,06/10/2019,2018,N00003288
Agribusiness,A,35600,21000,56600,06/10/2019,2018,N00000781
Communic/Electronics,B,93701,258000,351701,06/10/2019,2018,N00000781
Construction,C,9750,11500,21250,06/10/2019,2018,N00000781
Defense,D,0,17500,17500,06/10/2019,2018,N00000781
Energy/Nat Resource,E,21150,173619,194769,06/10/2019,2018,N00000781
Finance/Insur/RealEst,F,103533,160000,263533,06/10/2019,2018,N00000781
Health,H,144705,683250,827955,06/10/2019,2018,N00000781
Lawyers & Lobbyists,K,167333,68364,235697,06/10/2019,2018,N00000781
Transportation,M,2500,78000,80500,06/10/2019,2018,N00000781
Misc Business,N,105975,162333,268308,06/10/2019,2018,N00000781
Labor,P,25,224500,224525,06/10/2019,2018,N00000781
Ideology/Single-Issue,Q,20500,17500,38000,06/10/2019,2018,N00000781
Other,W,39196,5000,44196,06/10/2019,2018,N00000781
Agribusiness,A,9250,88000,97250,06/10/2019,2018,N00030642
Communic/Electronics,B,1500,11000,12500,06/10/2019,2018,N00030642
Construction,C,3665,4500,8165,06/10/2019,2018,N00030642
Defense,D,0,10000,10000,06/10/2019,2018,N00030642
Energy/Nat Resource,E,0,15500,15500,06/10/2019,2018,N00030642
Finance/Insur/RealEst,F,47005,96250,143255,06/10/2019,2018,N00030642
Health,H,7550,8500,16050,06/10/2019,2018,N00030642
Lawyers & Lobbyists,K,28900,17500,46400,06/10/2019,2018,N00030642
Transportation,M,250,30500,30750,06/10/2019,2018,N00030642
Misc Business,N,7100,39674,46774,06/10/2019,2018,N00030642
Labor,P,2500,75000,77500,06/10/2019,2018,N00030642
Ideology/Single-Issue,Q,2250,56550,58800,06/10/2019,2018,N00030642
Other,W,39780,0,39780,06/10/2019,2018,N00030642
Agribusiness,A,375109,160000,535109,06/10/2019,2018,N00033363
Communic/Electronics,B,307921,138880,446801,06/10/2019,2018,N00033363
Construction,C,375147,66700,441847,06/10/2019,2018,N00033363
Defense,D,59030,81500,140530,06/10/2019,2018,N00033363
Energy/Nat Resource,E,693846,153850,847696,06/10/2019,2018,N00033363
Finance/Insur/RealEst,F,3223286,641900,3865186,06/10/2019,2018,N00033363
Health,H,524512,125166,649678,06/10/2019,2018,N00033363
Lawyers & Lobbyists,K,680000,76430,756430,06/10/2019,2018,N00033363
Transportation,M,219126,126546,345672,06/10/2019,2018,N00033363
Misc Business,N,1066644,269700,1336344,06/10/2019,2018,N00033363
Labor,P,0,5500,5500,06/10/2019,2018,N00033363
Ideology/Single-Issue,Q,1007063,657810,1664873,06/10/2019,2018,N00033363
Other,W,1548918,6000,1554918,06/10/2019,2018,N00033363
Agribusiness,A,0,19500,19500,06/10/2019,2018,N00026961
Communic/Electronics,B,18390,118500,136890,06/10/2019,2018,N00026961
Construction,C,14738,4500,19238,06/10/2019,2018,N00026961
Defense,D,0,3000,3000,06/10/2019,2018,N00026961
Energy/Nat Resource,E,507,41500,42007,06/10/2019,2018,N00026961
Finance/Insur/RealEst,F,42174,62000,104174,06/10/2019,2018,N00026961
Health,H,17422,105499,122921,06/10/2019,2018,N00026961
Lawyers & Lobbyists,K,34447,21655,56102,06/10/2019,2018,N00026961
Transportation,M,0,27988,27988,06/10/2019,2018,N00026961
Misc Business,N,44655,15250,59905,06/10/2019,2018,N00026961
Labor,P,500,130500,131000,06/10/2019,2018,N00026961
Ideology/Single-Issue,Q,26950,65700,92650,06/10/2019,2018,N00026961
Other,W,64825,1000,65825,06/10/2019,2018,N00026961
Agribusiness,A,9750,10500,20250,06/10/2019,2018,N00032243
Communic/Electronics,B,7950,4000,11950,06/10/2019,2018,N00032243
Construction,C,14500,7000,21500,06/10/2019,2018,N00032243
Defense,D,0,20000,20000,06/10/2019,2018,N00032243
Energy/Nat Resource,E,10800,28517,39317,06/10/2019,2018,N00032243
Finance/Insur/RealEst,F,64550,29500,94050,06/10/2019,2018,N00032243
Health,H,11050,2000,13050,06/10/2019,2018,N00032243
Lawyers & Lobbyists,K,8000,1000,9000,06/10/2019,2018,N00032243
Transportation,M,10275,31500,41775,06/10/2019,2018,N00032243
Misc Business,N,30005,28500,58505,06/10/2019,2018,N00032243
Labor,P,250,0,250,06/10/2019,2018,N00032243
Ideology/Single-Issue,Q,26100,29814,55914,06/10/2019,2018,N00032243
Other,W,73910,0,73910,06/10/2019,2018,N00032243
Agribusiness,A,431,9000,9431,06/10/2019,2018,N00029139
Communic/Electronics,B,67303,21000,88303,06/10/2019,2018,N00029139
Construction,C,14645,4500,19145,06/10/2019,2018,N00029139
Defense,D,11335,15000,26335,06/10/2019,2018,N00029139
Energy/Nat Resource,E,39265,11000,50265,06/10/2019,2018,N00029139
Finance/Insur/RealEst,F,123434,467800,591234,06/10/2019,2018,N00029139
Health,H,72610,40000,112610,06/10/2019,2018,N00029139
Lawyers & Lobbyists,K,86685,15750,102435,06/10/2019,2018,N00029139
Transportation,M,2185,15000,17185,06/10/2019,2018,N00029139
Misc Business,N,31370,47500,78870,06/10/2019,2018,N00029139
Labor,P,200,139000,139200,06/10/2019,2018,N00029139
Ideology/Single-Issue,Q,71700,19475,91175,06/10/2019,2018,N00029139
Other,W,731304,0,731304,06/10/2019,2018,N00029139
Agribusiness,A,41395,33200,74595,06/10/2019,2018,N00042808
Communic/Electronics,B,3950,2500,6450,06/10/2019,2018,N00042808
Construction,C,12026,18000,30026,06/10/2019,2018,N00042808
Defense,D,0,2500,2500,06/10/2019,2018,N00042808
Energy/Nat Resource,E,0,14500,14500,06/10/2019,2018,N00042808
Finance/Insur/RealEst,F,54100,33500,87600,06/10/2019,2018,N00042808
Health,H,6700,19500,26200,06/10/2019,2018,N00042808
Lawyers & Lobbyists,K,34700,13000,47700,06/10/2019,2018,N00042808
Transportation,M,7400,9000,16400,06/10/2019,2018,N00042808
Misc Business,N,25456,10000,35456,06/10/2019,2018,N00042808
Labor,P,0,2500,2500,06/10/2019,2018,N00042808
Ideology/Single-Issue,Q,208359,86950,295309,06/10/2019,2018,N00042808
Other,W,43300,1000,44300,06/10/2019,2018,N00042808
Agribusiness,A,13301,31150,44451,06/10/2019,2018,N00033997
Communic/Electronics,B,53484,58800,112284,06/10/2019,2018,N00033997
Construction,C,30687,32500,63187,06/10/2019,2018,N00033997
Defense,D,938,135500,136438,06/10/2019,2018,N00033997
Energy/Nat Resource,E,31137,30000,61137,06/10/2019,2018,N00033997
Finance/Insur/RealEst,F,177085,191000,368085,06/10/2019,2018,N00033997
Health,H,114355,109500,223855,06/10/2019,2018,N00033997
Lawyers & Lobbyists,K,169323,19500,188823,06/10/2019,2018,N00033997
Transportation,M,6927,57500,64427,06/10/2019,2018,N00033997
Misc Business,N,98803,94602,193405,06/10/2019,2018,N00033997
Labor,P,5310,175000,180310,06/10/2019,2018,N00033997
Ideology/Single-Issue,Q,29634,71437,101071,06/10/2019,2018,N00033997
Other,W,320883,500,321383,06/10/2019,2018,N00033997
Agribusiness,A,115610,23700,139310,06/10/2019,2018,N00033983
Communic/Electronics,B,959337,72255,1031592,06/10/2019,2018,N00033983
Construction,C,122507,50200,172707,06/10/2019,2018,N00033983
Defense,D,39420,37500,76920,06/10/2019,2018,N00033983
Energy/Nat Resource,E,84416,65000,149416,06/10/2019,2018,N00033983
Finance/Insur/RealEst,F,2214325,702169,2916494,06/10/2019,2018,N00033983
Health,H,732790,290500,1023290,06/10/2019,2018,N00033983
Lawyers & Lobbyists,K,1795998,42250,1838248,06/10/2019,2018,N00033983
Transportation,M,97803,47650,145453,06/10/2019,2018,N00033983
Misc Business,N,866256,79213,945469,06/10/2019,2018,N00033983
Labor,P,4263,282500,286763,06/10/2019,2018,N00033983
Ideology/Single-Issue,Q,1788122,807315,2595437,06/10/2019,2018,N00033983
Other,W,3020028,10500,3030528,06/10/2019,2018,N00033983
Agribusiness,A,200,15700,15900,06/10/2019,2018,N00027060
Communic/Electronics,B,325,22500,22825,06/10/2019,2018,N00027060
Construction,C,22950,23500,46450,06/10/2019,2018,N00027060
Defense,D,0,16500,16500,06/10/2019,2018,N00027060
Energy/Nat Resource,E,5810,23100,28910,06/10/2019,2018,N00027060
Finance/Insur/RealEst,F,44950,187500,232450,06/10/2019,2018,N00027060
Health,H,25108,99500,124608,06/10/2019,2018,N00027060
Lawyers & Lobbyists,K,52861,20750,73611,06/10/2019,2018,N00027060
Transportation,M,10150,30000,40150,06/10/2019,2018,N00027060
Misc Business,N,20695,53999,74694,06/10/2019,2018,N00027060
Labor,P,5000,166350,171350,06/10/2019,2018,N00027060
Ideology/Single-Issue,Q,8804,14099,22903,06/10/2019,2018,N00027060
Other,W,21086,0,21086,06/10/2019,2018,N00027060
Agribusiness,A,27934,50750,78684,06/10/2019,2018,N00037515
Communic/Electronics,B,52526,58095,110621,06/10/2019,2018,N00037515
Construction,C,14762,6000,20762,06/10/2019,2018,N00037515
Defense,D,403,38000,38403,06/10/2019,2018,N00037515
Energy/Nat Resource,E,5500,57500,63000,06/10/2019,2018,N00037515
Finance/Insur/RealEst,F,324672,109000,433672,06/10/2019,2018,N00037515
Health,H,40302,74500,114802,06/10/2019,2018,N00037515
Lawyers & Lobbyists,K,143965,24500,168465,06/10/2019,2018,N00037515
Transportation,M,16158,12500,28658,06/10/2019,2018,N00037515
Misc Business,N,115191,48382,163573,06/10/2019,2018,N00037515
Labor,P,2850,206500,209350,06/10/2019,2018,N00037515
Ideology/Single-Issue,Q,85226,409666,494892,06/10/2019,2018,N00037515
Other,W,420960,500,421460,06/10/2019,2018,N00037515
Agribusiness,A,18043,0,18043,06/10/2019,2018,N00042161
Communic/Electronics,B,80621,0,80621,06/10/2019,2018,N00042161
Construction,C,11803,4500,16303,06/10/2019,2018,N00042161
Defense,D,1738,0,1738,06/10/2019,2018,N00042161
Energy/Nat Resource,E,6023,0,6023,06/10/2019,2018,N00042161
Finance/Insur/RealEst,F,194672,13500,208172,06/10/2019,2018,N00042161
Health,H,63426,5000,68426,06/10/2019,2018,N00042161
Lawyers & Lobbyists,K,121334,5000,126334,06/10/2019,2018,N00042161
Transportation,M,6337,0,6337,06/10/2019,2018,N00042161
Misc Business,N,138327,0,138327,06/10/2019,2018,N00042161
Labor,P,4043,125000,129043,06/10/2019,2018,N00042161
Ideology/Single-Issue,Q,247871,307669,555540,06/10/2019,2018,N00042161
Other,W,388194,0,388194,06/10/2019,2018,N00042161
Agribusiness,A,7810,2000,9810,06/10/2019,2018,N00041871
