sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,247949,217499,465448,03/20/2023,2022
Communic/Electronics,B,296789,262600,559389,03/20/2023,2022
Construction,C,190147,100500,290647,03/20/2023,2022
Defense,D,103925,139000,242925,03/20/2023,2022
Energy/Nat Resource,E,230077,166000,396077,03/20/2023,2022
Finance/Insur/RealEst,F,895594,708000,1603594,03/20/2023,2022
Health,H,210982,304000,514982,03/20/2023,2022
Lawyers & Lobbyists,K,459969,77500,537469,03/20/2023,2022
Transportation,M,236808,287000,523808,03/20/2023,2022
Misc Business,N,416854,218100,634954,03/20/2023,2022
Labor,P,5500,71000,76500,03/20/2023,2022
Ideology/Single-Issue,Q,428729,467191,895920,03/20/2023,2022
Other,W,454002,16500,470502,03/20/2023,2022
