org_name,total,pacs,indivs,cycle,source,cid
Cassidy & Assoc,12300,0,12300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
Air Line Pilots Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
American Crystal Sugar,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
American Federation of Teachers,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
Carpenters & Joiners Union,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
International Assn of Fire Fighters,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
Laborers Union,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
Machinists/Aerospace Workers Union,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
National Assn of Letter Carriers,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000179&cycle=2022,N00000179
American Israel Public Affairs Cmte,24000,7900,16100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
Marathon Petroleum,21258,10000,11258,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
DISH Network,17500,5900,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
Cooper Farms,17300,0,17300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
National Assn of Broadcasters,11000,10000,1000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
New York Life Insurance,10625,10000,625,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
American Assn of Nurse Anesthesiology,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
American Bankers Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
American Optometric Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
AT&T Inc,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00012233&cycle=2022,N00012233
JStreetPAC,76290,0,76290,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044908&cycle=2022,N00044908
"Davis, Polk & Wardwell",70710,0,70710,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044908&cycle=2022,N00044908
"Paul, Weiss et al",36150,0,36150,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044908&cycle=2022,N00044908
Columbia University,18895,0,18895,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044908&cycle=2022,N00044908
Kasowitz Benson Torres LLP,17800,0,17800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044908&cycle=2022,N00044908
"Faber, Daeufer & Itrato",14500,0,14500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044908&cycle=2022,N00044908
Google Inc,13950,0,13950,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044908&cycle=2022,N00044908
"Simpson, Thacher & Bartlett",12450,0,12450,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00044908&cycle=2022,N00044908
