sector_name,sectorid,indivs,pacs,total,last_updated,cycle,cid
Agribusiness,A,5375,38500,43875,03/20/2023,2022,N00000179
Communic/Electronics,B,11516,2000,13516,03/20/2023,2022,N00000179
Construction,C,13530,7500,21030,03/20/2023,2022,N00000179
Defense,D,500,0,500,03/20/2023,2022,N00000179
Energy/Nat Resource,E,5250,0,5250,03/20/2023,2022,N00000179
Finance/Insur/RealEst,F,63345,35500,98845,03/20/2023,2022,N00000179
Health,H,49910,21500,71410,03/20/2023,2022,N00000179
Lawyers & Lobbyists,K,115919,24750,140669,03/20/2023,2022,N00000179
Transportation,M,8875,3250,12125,03/20/2023,2022,N00000179
Misc Business,N,41312,28000,69312,03/20/2023,2022,N00000179
Labor,P,500,167000,167500,03/20/2023,2022,N00000179
Ideology/Single-Issue,Q,10800,22012,32812,03/20/2023,2022,N00000179
Other,W,135553,0,135553,03/20/2023,2022,N00000179
Agribusiness,A,28090,38000,66090,03/20/2023,2022,N00012233
Communic/Electronics,B,22175,224400,246575,03/20/2023,2022,N00012233
Construction,C,22682,28500,51182,03/20/2023,2022,N00012233
Defense,D,15,5000,5015,03/20/2023,2022,N00012233
Energy/Nat Resource,E,13628,176500,190128,03/20/2023,2022,N00012233
Finance/Insur/RealEst,F,29030,123000,152030,03/20/2023,2022,N00012233
Health,H,19526,161500,181026,03/20/2023,2022,N00012233
Lawyers & Lobbyists,K,44749,10000,54749,03/20/2023,2022,N00012233
Transportation,M,9252,65000,74252,03/20/2023,2022,N00012233
Misc Business,N,31619,96500,128119,03/20/2023,2022,N00012233
Labor,P,0,7500,7500,03/20/2023,2022,N00012233
Ideology/Single-Issue,Q,42250,50900,93150,03/20/2023,2022,N00012233
Other,W,72685,1000,73685,03/20/2023,2022,N00012233
Agribusiness,A,2500,0,2500,03/20/2023,2022,N00044908
Communic/Electronics,B,251453,2500,253953,03/20/2023,2022,N00044908
Construction,C,25411,1000,26411,03/20/2023,2022,N00044908
Defense,D,250,0,250,03/20/2023,2022,N00044908
Energy/Nat Resource,E,11150,0,11150,03/20/2023,2022,N00044908
Finance/Insur/RealEst,F,410824,10500,421324,03/20/2023,2022,N00044908
Health,H,94575,0,94575,03/20/2023,2022,N00044908
Lawyers & Lobbyists,K,460402,5000,465402,03/20/2023,2022,N00044908
Transportation,M,5300,1000,6300,03/20/2023,2022,N00044908
Misc Business,N,144717,5000,149717,03/20/2023,2022,N00044908
Labor,P,0,57500,57500,03/20/2023,2022,N00044908
Ideology/Single-Issue,Q,19715,197901,217616,03/20/2023,2022,N00044908
Other,W,597583,0,597583,03/20/2023,2022,N00044908
Agribusiness,A,6800,67000,73800,03/20/2023,2022,N00026627
Communic/Electronics,B,83250,110500,193750,03/20/2023,2022,N00026627
Construction,C,36799,73900,110699,03/20/2023,2022,N00026627
Defense,D,250,28000,28250,03/20/2023,2022,N00026627
Energy/Nat Resource,E,12150,108000,120150,03/20/2023,2022,N00026627
Finance/Insur/RealEst,F,868265,1161420,2029685,03/20/2023,2022,N00026627
Health,H,13102,131800,144902,03/20/2023,2022,N00026627
Lawyers & Lobbyists,K,188650,41000,229650,03/20/2023,2022,N00026627
Transportation,M,9800,85495,95295,03/20/2023,2022,N00026627
Misc Business,N,85000,204364,289364,03/20/2023,2022,N00026627
Labor,P,0,7500,7500,03/20/2023,2022,N00026627
Ideology/Single-Issue,Q,260600,92175,352775,03/20/2023,2022,N00026627
Other,W,68502,2000,70502,03/20/2023,2022,N00026627
Agribusiness,A,16850,23500,40350,03/20/2023,2022,N00043242
Communic/Electronics,B,1250,60000,61250,03/20/2023,2022,N00043242
Construction,C,47548,27000,74548,03/20/2023,2022,N00043242
Defense,D,1000,16500,17500,03/20/2023,2022,N00043242
Energy/Nat Resource,E,13400,86500,99900,03/20/2023,2022,N00043242
Finance/Insur/RealEst,F,39400,62000,101400,03/20/2023,2022,N00043242
Health,H,151501,340400,491901,03/20/2023,2022,N00043242
Lawyers & Lobbyists,K,51950,14000,65950,03/20/2023,2022,N00043242
Transportation,M,23600,46500,70100,03/20/2023,2022,N00043242
Misc Business,N,62100,51861,113961,03/20/2023,2022,N00043242
Labor,P,0,23500,23500,03/20/2023,2022,N00043242
Ideology/Single-Issue,Q,29900,58973,88873,03/20/2023,2022,N00043242
Other,W,56410,0,56410,03/20/2023,2022,N00043242
Agribusiness,A,83000,221900,304900,03/20/2023,2022,N00005559
Communic/Electronics,B,22850,19500,42350,03/20/2023,2022,N00005559
Construction,C,9950,19000,28950,03/20/2023,2022,N00005559
Defense,D,4900,40000,44900,03/20/2023,2022,N00005559
Energy/Nat Resource,E,44900,84000,128900,03/20/2023,2022,N00005559
Finance/Insur/RealEst,F,124373,232500,356873,03/20/2023,2022,N00005559
Health,H,13650,9000,22650,03/20/2023,2022,N00005559
Lawyers & Lobbyists,K,50950,8500,59450,03/20/2023,2022,N00005559
Transportation,M,29900,55900,85800,03/20/2023,2022,N00005559
Misc Business,N,59550,50500,110050,03/20/2023,2022,N00005559
Labor,P,0,5000,5000,03/20/2023,2022,N00005559
Ideology/Single-Issue,Q,12600,92500,105100,03/20/2023,2022,N00005559
Other,W,50097,1000,51097,03/20/2023,2022,N00005559
Agribusiness,A,4025,2999,7024,03/20/2023,2022,N00029070
Communic/Electronics,B,6997,49000,55997,03/20/2023,2022,N00029070
Construction,C,450,7500,7950,03/20/2023,2022,N00029070
Defense,D,0,31000,31000,03/20/2023,2022,N00029070
Energy/Nat Resource,E,15126,8000,23126,03/20/2023,2022,N00029070
Finance/Insur/RealEst,F,187780,605000,792780,03/20/2023,2022,N00029070
Health,H,17565,20500,38065,03/20/2023,2022,N00029070
Lawyers & Lobbyists,K,44976,18000,62976,03/20/2023,2022,N00029070
Transportation,M,250,16000,16250,03/20/2023,2022,N00029070
Misc Business,N,26325,58682,85007,03/20/2023,2022,N00029070
Labor,P,750,58500,59250,03/20/2023,2022,N00029070
Ideology/Single-Issue,Q,71125,20304,91429,03/20/2023,2022,N00029070
Other,W,124668,0,124668,03/20/2023,2022,N00029070
Agribusiness,A,6615,1500,8115,03/20/2023,2022,N00048277
Communic/Electronics,B,8795,0,8795,03/20/2023,2022,N00048277
Construction,C,27325,2500,29825,03/20/2023,2022,N00048277
Defense,D,6800,0,6800,03/20/2023,2022,N00048277
Energy/Nat Resource,E,25620,1000,26620,03/20/2023,2022,N00048277
Finance/Insur/RealEst,F,221716,14500,236216,03/20/2023,2022,N00048277
Health,H,45995,2000,47995,03/20/2023,2022,N00048277
Lawyers & Lobbyists,K,35105,500,35605,03/20/2023,2022,N00048277
Transportation,M,52030,5000,57030,03/20/2023,2022,N00048277
Misc Business,N,135104,3500,138604,03/20/2023,2022,N00048277
Labor,P,0,15000,15000,03/20/2023,2022,N00048277
Ideology/Single-Issue,Q,241637,187760,429397,03/20/2023,2022,N00048277
Other,W,246837,0,246837,03/20/2023,2022,N00048277
Agribusiness,A,6400,13500,19900,03/20/2023,2022,N00036018
Communic/Electronics,B,52831,46800,99631,03/20/2023,2022,N00036018
Construction,C,12680,22000,34680,03/20/2023,2022,N00036018
Defense,D,19200,44500,63700,03/20/2023,2022,N00036018
