cand_name,cid,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt,origin,source,last_updated
"Brooks, Mo",N00030910,2022,AL,R,H,2010,2022,3153275.32,4288807.84,1968.66,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030910&cycle=2022,12/31/2022
"McGovern, James P",N00000179,2022,MA,D,H,1996,2022,1115162.96,1012730.69,367378.7,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000179&cycle=2022,12/31/2022
"Latta, Bob",N00012233,2022,OH,R,H,2007,2022,1558302.91,1353215.87,924551.44,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00012233&cycle=2022,12/31/2022
"Jones, Mondaire",N00044908,2022,NY,D,H,2020,2022,3013074.87,3739317.98,71345.37,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044908&cycle=2022,12/31/2022
"McHenry, Patrick",N00026627,2022,NC,R,H,2004,2022,3897222.63,3480816.43,2123375.72,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00026627&cycle=2022,12/31/2022
"Joyce, John",N00043242,2022,PA,R,H,2018,2022,1523590.3,430303.62,1812169.31,906423,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00043242&cycle=2022,12/31/2022
"Lucas, Frank D",N00005559,2022,OK,R,H,1994,2022,1521360.93,1623844.54,179695.76,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00005559&cycle=2022,12/31/2022
"Himes, Jim",N00029070,2022,CT,D,H,2008,2022,1665641.43,1829542.24,1659298.8,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029070&cycle=2022,12/31/2022
"Miller, Max",N00048277,2022,,R,,,2022,2980627.07,2907928.29,72698.78,1050000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048277&cycle=2022,12/31/2022
"Beyer, Don",N00036018,2022,VA,D,H,2014,2022,2112832.6,2156091.52,596762.81,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00036018&cycle=2022,12/31/2022
"Boebert, Lauren",N00045974,2022,CO,R,H,2020,2022,7744744.35,7330263.06,771275.6,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045974&cycle=2022,12/31/2022
"Posey, Bill",N00029662,2022,FL,R,H,2008,2022,1028263.38,775204.85,423022.85,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029662&cycle=2022,12/31/2022
"Cleaver, Emanuel",N00026790,2022,MO,D,H,2004,2022,1214785.4,1181591.29,961057.81,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00026790&cycle=2022,12/31/2022
"Mullin, Markwayne",N00033410,2022,OK,R,H,2012,2026,5427643.21,5982947.47,55005.69,1230775.86,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033410&cycle=2022,12/31/2022
"Matsui, Doris",N00027459,2022,CA,D,H,2005,2022,1395576.99,1483648.36,181340.09,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027459&cycle=2022,12/31/2022
"Thompson, Bennie G",N00003288,2022,MS,D,H,1993,2022,1508550.6,1301189.31,1730909.56,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00003288&cycle=2022,12/31/2022
"Pallone, Frank Jr",N00000781,2022,NJ,D,H,1988,2022,3130439.97,3781292.64,2686743.08,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000781&cycle=2022,12/31/2022
"Cotton, Tom",N00033363,2022,AR,R,S,2014,2026,16505657.61,8993605.51,7783898.65,73959,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033363&cycle=2022,12/31/2022
"Clarke, Yvette",N00026961,2022,NY,D,H,2006,2022,785088.36,794004.34,62704.77,49480,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00026961&cycle=2022,12/31/2022
"Hageman, Harriet",N00049197,2022,,R,,,2022,5678770.25,5403981.28,274788.97,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049197&cycle=2022,12/31/2022
"Foster, Bill",N00029139,2022,IL,D,H,2012,2022,3292555.72,6223640.99,805115.33,1026069.89,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029139&cycle=2022,12/31/2022
"Yakym, Rudy",N00051733,2022,IN,R,,2022,2022,1129551.26,981438.53,148112.73,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00051733&cycle=2022,12/31/2022
"Steube, Greg",N00042808,2022,FL,R,H,2018,2022,1617685.42,974048.89,967412.98,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042808&cycle=2022,12/31/2022
"Aguilar, Pete",N00033997,2022,CA,D,H,2014,2022,3198433.51,3458271.23,1579756.32,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033997&cycle=2022,12/31/2022
"Sinema, Kyrsten",N00033983,2022,AZ,D,S,2018,2024,33541385.17,27567797.53,8237221.96,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033983&cycle=2022,12/31/2022
"Higgins, Brian M",N00027060,2022,NY,D,H,2004,2022,1535574.09,1853282.45,793343.64,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027060&cycle=2022,12/31/2022
"Pappas, Chris",N00042161,2022,NH,D,H,2018,2022,5098117.64,5198803.39,113226.3,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042161&cycle=2022,12/31/2022
"Reschenthaler, Guy",N00041871,2022,PA,R,H,2018,2022,1980348.68,2163433.62,504494.68,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041871&cycle=2022,12/31/2022
"Grothman, Glenn",N00036409,2022,WI,R,H,2014,2022,1238391.19,970095.21,537726.79,139110,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00036409&cycle=2022,12/31/2022
"Harshbarger, Diana",N00046688,2022,TN,R,H,2020,2022,1982165.05,1304900.18,935110.7,1456793,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00046688&cycle=2022,12/31/2022
"Rogers, Hal",N00003473,2022,KY,R,H,1980,2022,809395.99,933333.86,712965.28,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00003473&cycle=2022,12/31/2022
"Hassan, Maggie",N00038397,2022,NH,D,S,2016,2022,41623667.13,41638528.36,124100.13,357101.35,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00038397&cycle=2022,12/31/2022
"Golden, Jared",N00041668,2022,ME,D,H,2018,2022,5966782.06,6062952.61,34690.26,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041668&cycle=2022,12/31/2022
"Mace, Nancy",N00035670,2022,SC,R,H,2020,2022,5776312.15,5624838.55,210960.82,100,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035670&cycle=2022,12/31/2022
"Tenney, Claudia",N00036351,2022,NY,R,H,2020,2022,3217885.69,3559303.4,61449.34,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00036351&cycle=2022,12/31/2022
"Green, Mark",N00041873,2022,TN,R,H,2018,2022,1703793.02,1850651.83,123656.21,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041873&cycle=2022,12/31/2022
"Walberg, Tim",N00026368,2022,MI,R,H,2010,2022,1494322.25,1200234.25,1063455.67,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00026368&cycle=2022,12/31/2022
"Letlow, Julia",N00047972,2022,LA,R,H,2021,2022,2819700.49,2033000.53,786699.96,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00047972&cycle=2022,12/31/2022
"Jackson, Jeff",N00050407,2022,,D,,,2022,5468695.3,5388629.47,80065.83,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00050407&cycle=2022,12/31/2022
"Schakowsky, Jan",N00004724,2022,IL,D,H,1998,2022,1542148.07,1390496.93,900705.42,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00004724&cycle=2022,12/31/2022
"Vasquez, Gabe",N00049142,2022,,D,,,2022,3650711.35,3627934.62,22776.73,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049142&cycle=2022,12/31/2022
"De La Cruz, Monica",N00045793,2022,,R,,,2022,4581188.39,4536477.42,52216.7,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045793&cycle=2022,12/31/2022
"Kaine, Tim",N00033177,2022,VA,D,S,2012,2024,20180380.48,19472057.05,3829018.8,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033177&cycle=2022,12/31/2022
"Connolly, Gerry",N00029891,2022,VA,D,H,2008,2022,2085788.61,1825210.07,3152499.09,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029891&cycle=2022,12/31/2022
"Jordan, Jim",N00027894,2022,OH,R,H,2006,2022,13975653.3,12404150.89,7685314.5,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027894&cycle=2022,12/31/2022
"Guthrie, Brett",N00029675,2022,KY,R,H,2008,2022,2241365.25,2233919.8,1864119.81,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029675&cycle=2022,12/31/2022
"Gillibrand, Kirsten",N00027658,2022,NY,D,S,2009,2024,23328147.16,20542691.98,5052119.19,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027658&cycle=2022,12/31/2022
"Nehls, Troy",N00046067,2022,TX,R,H,2020,2022,1373056.92,1005784.76,386478.8,5726.73,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00046067&cycle=2022,12/31/2022
