cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate,state
N00050649,Brad Finstad,Finstad,R,MN01,M,2022,0,,,,,,,,,,,,,,MN
N00037039,Angie Craig,Craig,D,MN02,F,2018,0,,202-225-2271,,https://craig.house.gov/,,1523 Longworth House Office Building,C001119,,H6MN02131,RepAngieCraig,,,1972-02-14,MN
N00041134,Dean Phillips,Phillips,D,MN03,M,2018,0,,202-225-2871,,https://phillips.house.gov/,,1305 Longworth House Office Building,P000616,,H8MN03143,RepDeanPhillips,,,1969-01-20,MN
N00012942,Betty McCollum,Mccollum,D,MN04,F,2000,0,,202-225-6631,202-225-1968,http://mccollum.house.gov,https://mccollum.house.gov/contact-me/email-me,2256 Rayburn House Office Building,M001143,3812,H0MN04049,BettyMcCollum04,,repbettymccollum,1954-07-12,MN
N00043581,Ilhan Omar,Omar,D,MN05,F,2018,0,,202-225-4755,,https://omar.house.gov/,,1517 Longworth House Office Building,O000173,,H8MN05239,,,,1981-10-04,MN
N00035440,Tom Emmer,Emmer,R,MN06,M,2014,0,,202-225-2331,202-225-6475,https://emmer.house.gov,,315 Cannon House Office Building,E000294,,H4MN06087,RepTomEmmer,,reptomemmer,1961-03-03,MN
N00045251,Michelle Fischbach,Fischbach,R,MN07,F,2020,0,,202225-2165,202225-1593,https://fischbach.house.gov/,,"1237 Longworth House Office Building Washington, DC  20515",F000470,,,@RepFischbach,,RepFischbach,11/03/65,MN
N00041511,Pete Stauber,Stauber,R,MN08,M,2018,0,,202-225-6211,,https://stauber.house.gov/,,126 Cannon House Office Building,S001212,,H8MN08043,RepPeteStauber,,,1966-05-10,MN
N00042353,Tina Smith,Smith,D,MNS1,F,2018,0,,202-224-5641,,https://www.smith.senate.gov,https://www.smith.senate.gov/content/contact-senator,309 Hart Senate Office Building,S001203,,S8MN00578,SenTinaSmith,,USSenTinaSmith,1958-03-04,MN
N00027500,Amy Klobuchar,Klobuchar,D,MNS2,F,2006,0,,202-224-3244,202-228-2186,https://www.klobuchar.senate.gov,http://www.klobuchar.senate.gov/public/index.cfm/contact,302 Hart Senate Office Building,K000367,65092,S6MN00267,AmyKlobuchar,https://youtube.com/senatorklobuchar,AmyKlobuchar,1960-05-25,MN
N00006460,David Schweikert,Schweikert,R,AZ01,M,2010,0,,202-225-2190,202-225-0096,https://schweikert.house.gov,https://schweikert.house.gov/contact-form,2059 Rayburn House Office Building,S001183,106387,H4AZ06045,RepDavid,https://youtube.com/RepDavidSchweikert,repdavidschweikert,1962-03-03,AZ
N00048953,Eli Crane,Crane,R,AZ02,M,2022,0,,,,,,,C001132,,H2AZ01354,,,,,AZ
N00036097,Ruben Gallego,Gallego,D,AZ03,M,2014,15,Running for Senate,202-225-4065,,https://rubengallego.house.gov,,1218 Longworth House Office Building,G000574,,H4AZ07043,RepRubenGallego,,RepRubenGallego,1979-11-20,AZ
N00041750,Greg Stanton,Stanton,D,AZ04,M,2018,0,,202-225-9888,,https://stanton.house.gov/,,128 Cannon House Office Building,S001211,,H8AZ09040,RepGregStanton,,,1970-03-08,AZ
N00039293,Andy Biggs,Biggs,R,AZ05,M,2016,0,,202-225-2635,,https://biggs.house.gov,,1626 Longworth House Office Building,B001302,,H6AZ05083,RepAndyBiggsAZ,,RepAndyBiggs,1958-11-07,AZ
N00049039,Juan Ciscomani,Ciscomani,R,AZ06,M,2022,0,,,,,,,C001133,,H2AZ02360,,,,,AZ
N00025284,Raul M Grijalva,Grijalva,D,AZ07,M,2002,0,,202-225-2435,202-225-1541,https://grijalva.house.gov,https://grijalvaforms.house.gov/email-raul,1511 Longworth House Office Building,G000551,28253,H2AZ07070,RepRaulGrijalva,https://youtube.com/raulgrijalvaaz07,Rep.Grijalva,1948-02-19,AZ
N00042056,Debbie Lesko,Lesko,R,AZ08,F,2018,4,Retiring at end of 118th Congress,202-225-4576,,https://lesko.house.gov/,,1113 Longworth House Office Building,L000589,,H8AZ08158,RepDLesko,,RepDebbieLesko,1958-11-14,AZ
N00030771,Paul Gosar,Gosar,R,AZ09,M,2010,0,,202-225-2315,202-226-9739,http://gosar.house.gov,https://gosar.house.gov/contact-me/email-me,2057 Rayburn House Office Building,G000565,123491,H0AZ01259,RepGosar,https://youtube.com/repgosar,repgosar,1958-11-22,AZ
N00044223,Mark Kelly,Kelly,D,AZS1,M,2020,0,,202224-2235,,https://www.kelly.senate.gov/,,"Dirksen Senate Office Building Suite B40B   Washington, DC 20510",K000377,,,@SenMarkKelly,,,02/21/64,AZ
N00033983,Kyrsten Sinema,Sinema,I,AZS2,F,2018,0,,202-225-9888,202-225-9731,https://sinema.house.gov,https://sinemaforms.house.gov/forms/writeyourrep/,1725 Longworth House Office Building,S001191,28338,H2AZ09019,RepSinema,https://youtube.com/repsinema,CongresswomanSinema,1976-07-12,AZ
N00030693,Suzan DelBene,Delbene,D,WA01,F,2012,0,,202-225-6311,202-226-1606,https://delbene.house.gov,http://delbene.house.gov/contact-me/email-me,2442 Rayburn House Office Building,D000617,126272,H0WA08046,RepDelBene,,RepDelBene,1962-02-17,WA
N00009759,Rick Larsen,Larsen,D,WA02,M,2000,0,,202-225-2605,202-225-4420,http://larsen.house.gov,http://larsen.house.gov/contact-rick/email-rick,2113 Rayburn House Office Building,L000560,56231,H0WA02080,RepRickLarsen,https://youtube.com/congressmanlarsen,RepRickLarsen,1965-06-15,WA
N00050490,Marie Gluesenkamp Perez,Perez,D,WA03,F,2022,0,,,,,,,G000600,,H2WA03217,,,,,WA
N00036403,Dan Newhouse,Newhouse,R,WA04,M,2014,0,,202-225-5816,202-225-3251,https://newhouse.house.gov,,1318 Longworth House Office Building,N000189,,H4WA04104,RepNewhouse,,RepNewhouse,1955-07-10,WA
N00026314,Cathy McMorris Rodgers,Rodgers,R,WA05,F,2004,0,,202-225-2006,202-225-3392,http://mcmorris.house.gov,https://mcmorrisforms.house.gov/write-to-cathy1,1314 Longworth House Office Building,M001159,3217,H4WA05077,CathyMcMorris,https://youtube.com/mcmorrisrodgers,mcmorrisrodgers,1969-05-22,WA
N00034453,Derek Kilmer,Kilmer,D,WA06,M,2012,0,,202-225-5916,,https://kilmer.house.gov,https://kilmer.house.gov/contact/email-me,1520 Longworth House Office Building,K000381,51516,H2WA06129,RepDerekKilmer,,derek.kilmer,1974-01-01,WA
N00038858,Pramila Jayapal,Jayapal,D,WA07,F,2016,0,,202-225-3106,,https://jayapal.house.gov,,319 Cannon House Office Building,J000298,,H6WA07458,RepJayapal,,RepJayapal,1965-09-21,WA
N00041606,Kim Schrier,Schrier,D,WA08,F,2018,0,,202-225-7761,,https://schrier.house.gov/,,1123 Longworth House Office Building,S001216,,H8WA08189,RepKimSchrier,,,1968-08-23,WA
N00007833,Adam Smith,Smith,D,WA09,M,1996,0,,202-225-8901,202-225-5893,https://adamsmith.house.gov,https://adamsmith.house.gov/contact/contactform.htm,2264 Rayburn House Office Building,S000510,845,H6WA09025,RepAdamSmith,https://youtube.com/CongressmanAdamSmith,RepAdamSmith,1965-06-15,WA
N00046320,Marilyn Strickland,Strickland,D,WA10,F,2020,0,,202225-9740,,https://strickland.house.gov/,,"1004 Longworth House Office Building Washington, DC  20515",S001159,,,@RepStricklandWA,,,09/25/62,WA
N00007836,Maria Cantwell,Cantwell,D,WAS1,F,2000,0,,202-224-3441,202-228-0514,https://www.cantwell.senate.gov,http://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,C000127,27122,S8WA00194,SenatorCantwell,https://youtube.com/SenatorCantwell,senatorcantwell,1958-10-13,WA
N00007876,Patty Murray,Murray,D,WAS2,F,1992,0,,202-224-2621,202-224-0238,https://www.murray.senate.gov/public,http://www.murray.senate.gov/public/index.cfm/contactme,154 Russell Senate Office Building,M001111,53358,S2WA00189,PattyMurray,https://youtube.com/SenatorPattyMurray,pattymurray,1950-10-11,WA
N00041542,Carol Miller,Miller,R,WV01,F,2018,0,,202-225-3452,,https://miller.house.gov/,,1605 Longworth House Office Building,M001205,,H8WV03097,,,,1950-11-04,WV
N00033814,Alex Mooney,Mooney,R,WV02,M,2014,15,Running for Senate,202-225-2711,202-225-7856,https://mooney.house.gov,,1232 Longworth House Office Building,M001195,,H4WV02080,RepAlexMooney,,CongressmanAlexMooney,1971-06-05,WV
