cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00006460,David Schweikert,Schweikert,R,AZ01,M,2010,0,,202-225-2190,202-225-0096,https://schweikert.house.gov,https://schweikert.house.gov/contact-form,2059 Rayburn House Office Building,S001183,106387,H4AZ06045,RepDavid,https://youtube.com/RepDavidSchweikert,repdavidschweikert,1962-03-03
N00048953,Eli Crane,Crane,R,AZ02,M,2022,0,,,,,,,C001132,,H2AZ01354,,,,
N00036097,Ruben Gallego,Gallego,D,AZ03,M,2014,15,Running for Senate,202-225-4065,,https://rubengallego.house.gov,,1218 Longworth House Office Building,G000574,,H4AZ07043,RepRubenGallego,,RepRubenGallego,1979-11-20
N00041750,Greg Stanton,Stanton,D,AZ04,M,2018,0,,202-225-9888,,https://stanton.house.gov/,,128 Cannon House Office Building,S001211,,H8AZ09040,RepGregStanton,,,1970-03-08
N00039293,Andy Biggs,Biggs,R,AZ05,M,2016,0,,202-225-2635,,https://biggs.house.gov,,1626 Longworth House Office Building,B001302,,H6AZ05083,RepAndyBiggsAZ,,RepAndyBiggs,1958-11-07
N00049039,Juan Ciscomani,Ciscomani,R,AZ06,M,2022,0,,,,,,,C001133,,H2AZ02360,,,,
N00025284,Raul M Grijalva,Grijalva,D,AZ07,M,2002,0,,202-225-2435,202-225-1541,https://grijalva.house.gov,https://grijalvaforms.house.gov/email-raul,1511 Longworth House Office Building,G000551,28253,H2AZ07070,RepRaulGrijalva,https://youtube.com/raulgrijalvaaz07,Rep.Grijalva,1948-02-19
N00042056,Debbie Lesko,Lesko,R,AZ08,F,2018,4,Retiring at end of 118th Congress,202-225-4576,,https://lesko.house.gov/,,1113 Longworth House Office Building,L000589,,H8AZ08158,RepDLesko,,RepDebbieLesko,1958-11-14
N00030771,Paul Gosar,Gosar,R,AZ09,M,2010,0,,202-225-2315,202-226-9739,http://gosar.house.gov,https://gosar.house.gov/contact-me/email-me,2057 Rayburn House Office Building,G000565,123491,H0AZ01259,RepGosar,https://youtube.com/repgosar,repgosar,1958-11-22
N00044223,Mark Kelly,Kelly,D,AZS1,M,2020,0,,202224-2235,,https://www.kelly.senate.gov/,,"Dirksen Senate Office Building Suite B40B   Washington, DC 20510",K000377,,,@SenMarkKelly,,,02/21/64
N00033983,Kyrsten Sinema,Sinema,I,AZS2,F,2018,0,,202-225-9888,202-225-9731,https://sinema.house.gov,https://sinemaforms.house.gov/forms/writeyourrep/,1725 Longworth House Office Building,S001191,28338,H2AZ09019,RepSinema,https://youtube.com/repsinema,CongresswomanSinema,1976-07-12
