cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00033987,Doug LaMalfa,Lamalfa,R,CA01,M,2012,0,,202-225-3076,530-534-7800,http://lamalfa.house.gov,https://lamalfa.house.gov/contact/email-me,322 Cannon House Office Building,L000578,29713,H2CA02142,RepLaMalfa,https://youtube.com/RepLaMalfa,RepLaMalfa,1960-07-02
N00033030,Jared Huffman,Huffman,D,CA02,M,2012,0,,202-225-5161,202-225-5163,http://huffman.house.gov,https://huffman.house.gov/contact/email-me,1406 Longworth House Office Building,H001068,59849,H2CA06259,RepHuffman,https://youtube.com/rephuffman,RepHuffman,1964-02-18
N00030856,John Garamendi,Garamendi,D,CA03,M,2009,0,,202-225-1880,202-225-5914,http://garamendi.house.gov,https://garamendi.house.gov/contact-me/email-me,2438 Rayburn House Office Building,G000559,29664,H0CA10149,RepGaramendi,https://youtube.com/garamendiCA10,repgaramendi,1945-01-24
N00006863,Tom McClintock,Mcclintock,R,CA04,M,2008,0,,202-225-2511,202-225-5444,http://mcclintock.house.gov,https://mcclintockforms.house.gov/forms/contact-form.shtml,2312 Rayburn House Office Building,M001177,9715,H8CA04152,RepMcClintock,https://youtube.com/McClintockCA04,Congressman-Tom-McClintock-81125319109,1956-07-10
N00007419,Mike Thompson,Thompson,D,CA05,M,1998,0,,202-225-3311,202-225-4335,http://mikethompson.house.gov,https://mikethompson.house.gov/contact/email-me,231 Cannon House Office Building,T000460,3564,H8CA01109,RepThompson,https://youtube.com/CongressmanMThompson,RepMikeThompson,1951-01-24
N00027459,Doris Matsui,Matsui,D,CA06,F,2005,0,,202-225-7163,202-225-0566,https://matsui.house.gov,https://matsui.house.gov/email-representative-matsui,2311 Rayburn House Office Building,M001163,28593,H6CA05195,DorisMatsui,https://youtube.com/RepDorisMatsui,doris.matsui,1944-09-25
N00030717,Ami Bera,Bera,D,CA07,M,2012,0,,202-225-5716,202-226-1298,http://bera.house.gov,https://beraforms.house.gov/forms/writeyourrep/,1431 Longworth House Office Building,B001287,120030,H0CA03078,RepBera,https://youtube.com/repamibera,RepAmiBera,1965-03-02
N00045377,Jay Obernolte,Obernolte,R,CA08,M,2020,0,,202-225-5861,,https://obernolte.house.gov/,,"1029 Longworth House Office Building, Washington, DC 20515",O000019,,,@JayObernolte,,,08/18/70
N00026926,Jerry McNerney,Mcnerny,D,CA09,M,2006,4,Retiring at end of 117th Congress,202-225-1947,202-225-4060,http://mcnerney.house.gov,https://mcnerney.house.gov/contact/email-me,2265 Rayburn House Office Building,M001166,29474,H4CA11081,RepMcNerney,https://youtube.com/RepJerryMcNerney,jerrymcnerney,1951-06-18
N00040853,Josh Harder,Harder,D,CA10,M,2018,0,,202-225-4540,,https://harder.house.gov/,,131 Cannon House Office Building,H001090,,,RepJoshHarder,,,1986-08-01
