cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00004887,Bobby Rush,Rush,D,IL01,M,1992,4,Retiring at end of 117th Congress,202-225-4372,202-226-0333,http://rush.house.gov,https://rush.house.gov/contact-me/legislative-issues,2188 Rayburn House Office Building,R000515,26831,H2IL01042,RepBobbyRush,https://youtube.com/CongressmanRush,congressmanbobbyrush,1946-11-23
N00035215,Robin Kelly,Kelly,D,IL02,F,2013,0,,202-225-0773,202-225-4583,https://robinkelly.house.gov,https://robinkelly.house.gov/contact/email-me,1239 Longworth House Office Building,K000385,33384,H2IL02172,RepRobinKelly,,reprobinkelly,1956-04-30
N00040891,Marie Newman,Newman,D,IL03,F,2020,20,Lost primary,202225-5701,,https://newman.house.gov/,,"1022 Longworth House Office Building Washington, DC  20515",N000192,,,@RepMarieNewman,,,04/13/64
N00042114,Jesus Garcia,Garcia,D,IL04,M,2018,0,,202-225-8203,,https://jesusgarcia.house.gov/,,530 Cannon House Office Building,G000586,,,,,,1956-04-12
N00030581,Mike Quigley,Quigley,D,IL05,M,2009,0,,202-225-4061,202-225-5603,https://quigley.house.gov,https://quigleyforms.house.gov/forms/writeyourrep/,2458 Rayburn House Office Building,Q000023,83310,H0IL05096,RepMikeQuigley,https://youtube.com/RepMikeQuigley,repmikequigley,1958-10-17
N00041338,Sean Casten,Casten,D,IL06,M,2018,0,,202-225-4561,,https://casten.house.gov/,,429 Cannon House Office Building,C001117,,,,,,1971-11-23
N00004884,Danny K Davis,Davis,D,IL07,M,1996,0,,202-225-5006,202-225-5641,https://davis.house.gov,https://davis.house.gov/email-me,2159 Rayburn House Office Building,D000096,233,H4IL07037,RepDannyDavis,https://youtube.com/dannykdavis07,280757931935749,1941-09-06
N00033240,Raja Krishnamoorthi,Krishnamoorthi,D,IL08,M,2016,0,,202-225-3711,,https://krishnamoorthi.house.gov,,515 Cannon House Office Building,K000391,,,congressmanraja,,congressmanraja,1973-07-19
N00004724,Jan Schakowsky,Schakowsky,D,IL09,F,1998,0,,202-225-2111,202-226-6890,https://schakowsky.house.gov,https://schakowsky.house.gov/write-to-congresswoman-jan-schakowsky,2367 Rayburn House Office Building,S001145,6387,H8IL09067,JanSchakowsky,https://youtube.com/repschakowsky,janschakowsky,1944-05-26
N00033101,Brad Schneider,Schneider,D,IL10,M,2016,0,,202-225-4835,202-225-0837,https://schneider.house.gov,,1432 Longworth House Office Building,S001190,,,repschneider,,CongressmanBradSchneider,1961-08-20
N00029139,Bill Foster,Foster,D,IL11,M,2012,0,,202-225-3515,202-225-9420,http://foster.house.gov,https://foster.house.gov/contact/email-me,1224 Longworth House Office Building,F000454,101632,H8IL14067,RepBillFoster,https://youtube.com/RepBillFoster,CongressmanBillFoster,1955-10-07
N00035420,Mike Bost,Bost,R,IL12,M,2014,0,,202-225-5661,202-225-0285,https://bost.house.gov,,1440 Longworth House Office Building,B001295,,H4IL12060,RepBost,,RepBost,1960-12-30
N00034784,Rodney Davis,Davis,R,IL13,M,2012,20,Lost primary,202-225-2371,217-791-6168,http://rodneydavis.house.gov,https://rodneydavisforms.house.gov/contact/,1740 Longworth House Office Building,D000619,9622,H2IL13120,RodneyDavis,https://youtube.com/RepRodneyDavis,RepRodneyDavis,1970-01-05
N00041569,Lauren A Underwood,Underwood,D,IL14,F,2018,0,,202-225-2976,,https://underwood.house.gov/,,1118 Longworth House Office Building,U000040,,,RepUnderwood,,,1986-10-04
N00045703,Mary Miller,Miller,R,IL15,F,2020,0,,202225-5271,,https://marymiller.house.gov/,,"1529 Longworth House Office Building Washington, DC  20515",M001211,,,@RepMaryMiller,,,08/07/59
N00030667,Adam Kinzinger,Kinzinger,R,IL16,M,2010,4,Retiring at end of 117th Congress,202-225-3635,202-225-3521,http://kinzinger.house.gov,https://kinzinger.house.gov/email-adam,2245 Rayburn House Office Building,K000378,116559,H0IL11052,RepKinzinger,https://youtube.com/RepAdamKinzinger,RepKinzinger,1978-02-27
N00033390,Cheri Bustos,Bustos,D,IL17,F,2012,4,Retiring at end of 117th Congress,202-225-5905,309-786-3720,https://bustos.house.gov,http://bustos.house.gov/contact,1009 Longworth House Office Building,B001286,134964,H2IL17071,RepCheri,https://youtube.com/RepCheri,RepCheri,1961-10-17
N00037031,Darin LaHood,Lahood,R,IL18,M,2015,0,,202-225-6201,,https://lahood.house.gov,,1424 Longworth House Office Building,L000585,,,RepLaHood,,replahood,1968-07-05
N00004981,Dick Durbin,Durbin,D,ILS1,M,1996,0,,202-224-2152,202-228-0400,https://www.durbin.senate.gov,https://www.durbin.senate.gov/contact/,711 Hart Senate Office Building,D000563,26847,S6IL00151,SenatorDurbin,https://youtube.com/SenatorDurbin,SenatorDurbin,1944-11-21
N00027860,Tammy Duckworth,Duckworth,D,ILS2,F,2016,0,,202-224-2854,,https://www.duckworth.senate.gov,https://www.duckworth.senate.gov/content/contact-senator,524 Hart Senate Office Building,D000622,57442,H6IL06141,SenDuckworth,https://youtube.com/repduckworth,SenDuckworth,1968-03-12
