cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00000153,Richard E Neal,Neal,D,MA01,M,1988,0,,202-225-5601,202-225-8112,https://neal.house.gov,https://forms.house.gov/neal/webforms/Contact_Form.shtml,341 Cannon House Office Building,N000015,26895,H8MA02041,RepRichardNeal,https://youtube.com/RepRichardENeal,325642654132598,1949-02-14
N00000179,James P McGovern,Mcgovern,D,MA02,M,1996,0,,202-225-6101,202-225-5759,http://mcgovern.house.gov,https://mcgovern.house.gov/contact/email-me,438 Cannon House Office Building,M000312,552,H4MA03022,RepMcGovern,https://youtube.com/repjimmcgovern,RepJimMcGovern,1959-11-20
N00041808,Lori Trahan,Trahan,D,MA03,F,2018,0,,202-225-3411,,https://trahan.house.gov/,,1616 Longworth House Office Building,T000482,,H8MA03106,RepLoriTrahan,,,1973-10-27
N00045506,Jake Auchincloss,Auchincloss,D,MA04,M,2020,0,,202225-5931,,https://auchincloss.house.gov/,,"1524 Longworth House Office Building Washington, DC  20515",A000148,,,@RepAuchincloss,,,01/29/88
N00035278,Katherine Clark,Clark,D,MA05,F,2013,0,,202-225-2836,202-226-0092,https://katherineclark.house.gov,https://katherineclark.house.gov/index.cfm/email-me,1415 Longworth House Office Building,C001101,35858,H4MA05084,RepKClark,,CongresswomanClark,1963-07-17
N00035431,Seth Moulton,Moulton,D,MA06,M,2014,0,,202-225-8020,202-225-5915,http://moulton.house.gov,,1408 Longworth House Office Building,M001196,,H4MA06090,teammoulton,,CongressmanSethMoulton,1978-10-24
N00042581,Ayanna Pressley,Pressley,D,MA07,F,2018,0,,202-225-5111,,https://pressley.house.gov/,,1108 Longworth House Office Building,P000617,,H8MA07032,RepPressley,,,1974-02-03
N00013855,Stephen Lynch,Lynch,D,MA08,M,2001,0,,202-225-8273,202-225-3984,http://lynch.house.gov,https://lynch.house.gov/contact-me/email-me,2268 Rayburn House Office Building,L000562,4844,H2MA09072,RepStephenLynch,https://youtube.com/RepLynch,repstephenlynch,1955-03-31
N00031933,Bill Keating,Keating,D,MA09,M,2010,0,,202-225-3111,202-225-5658,https://keating.house.gov,https://forms.house.gov/keating/webforms/contact.shtml,2351 Rayburn House Office Building,K000375,4743,H0MA10082,USRepKeating,https://youtube.com/RepBillKeating,USRepKeating,1952-09-06
N00033492,Elizabeth Warren,Warren,D,MAS1,F,2012,0,,202-224-4543,202-228-2072,https://www.warren.senate.gov,https://www.warren.senate.gov/?p=email_senator,317 Hart Senate Office Building,W000817,141272,S2MA00170,SenWarren,https://youtube.com/senelizabethwarren,senatorelizabethwarren,1949-06-22
N00000270,Ed Markey,Markey,D,MAS2,M,2013,0,,202-224-2742,,https://www.markey.senate.gov,https://www.markey.senate.gov/contact,255 Dirksen Senate Office Building,M000133,26900,H6MA07101,SenMarkey,https://youtube.com/RepMarkey,EdJMarkey,1946-07-11
