cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00029147,Andy Harris,Harris,R,MD01,M,2010,0,,202-225-5311,202-225-0254,http://harris.house.gov,https://harris.house.gov/contact-me/email-me,1533 Longworth House Office Building,H001052,19157,H8MD01094,RepAndyHarrisMD,https://youtube.com/RepAndyHarris,AndyHarrisMD,1957-01-25
N00025482,Dutch Ruppersberger,Ruppersberger,D,MD02,M,2002,0,,202-225-3061,202-225-3094,http://ruppersberger.house.gov,http://ruppersberger.house.gov/contact-dutch/email-dutch,2416 Rayburn House Office Building,R000576,36130,H2MD02160,Call_Me_Dutch,https://youtube.com/ruppersberger,184756771570504,1946-01-31
N00027751,John Sarbanes,Sarbanes,D,MD03,M,2006,0,,202-225-4016,202-225-9219,https://sarbanes.house.gov,http://sarbanes.house.gov/federal.asp,2444 Rayburn House Office Building,S001168,66575,H6MD03292,RepSarbanes,,RepSarbanes,1962-05-22
N00036999,Anthony Brown,Brown,D,MD04,M,2016,3,Running for Maryland Attorney General,202-225-8699,,https://anthonybrown.house.gov,,1505 Longworth House Office Building,B001304,,,RepAnthonyBrown,,RepAnthonyBrown,1961-11-21
N00001821,Steny H Hoyer,Hoyer,D,MD05,M,1981,0,,202-225-4131,202-225-4300,https://hoyer.house.gov,https://hoyer.house.gov/email-steny,1705 Longworth House Office Building,H000874,26890,H2MD05155,WhipHoyer,https://youtube.com/LeaderHoyer,WhipHoyer,1939-06-14
N00039122,David Trone,Trone,D,MD06,M,2018,0,,202-225-2721,,https://trone.house.gov/,,1213 Longworth House Office Building,T000483,,,RepDavidTrone,,,1955-09-21
N00001799,Kweisi Mfume,Mfume,D,MD07,M,2020,0,,,,,,,,,,,,,
N00037036,Jamie Raskin,Raskin,D,MD08,M,2016,0,,202-225-5341,,https://raskin.house.gov,,431 Cannon House Office Building,R000606,,,repraskin,,repraskin,1962-12-13
N00001955,Ben Cardin,Cardin,D,MDS1,M,2006,0,,202-224-4524,202-224-1651,https://www.cardin.senate.gov,http://www.cardin.senate.gov/contact/,509 Hart Senate Office Building,C000141,26888,H6MD03177,SenatorCardin,https://youtube.com/senatorcardin,senatorbencardin,1943-10-05
N00013820,Chris Van Hollen,Van Hollen,D,MDS2,M,2016,0,,202-224-4654,202-225-0375,https://www.vanhollen.senate.gov,https://www.vanhollen.senate.gov/content/contact-senator,110 Hart Senate Office Building,V000128,6098,H2MD08126,ChrisVanHollen,https://youtube.com/RepChrisVanHollen,chrisvanhollen,1959-01-10
