cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00039533,John Bergman,Bergman,R,MI01,M,2016,0,,202-225-4735,,https://bergman.house.gov,,414 Cannon House Office Building,B001301,,H6MI01226,RepJackBergman,,RepJackBergman,1947-02-02
N00036275,John Moolenaar,Moolenaar,R,MI02,M,2014,0,,202-225-3561,202-225-9679,https://moolenaar.house.gov,,117 Cannon House Office Building,M001194,,H4MI04126,RepMoolenaar,,RepMoolenaar,1961-05-08
N00044885,Hillary Scholten,Scholten,D,MI03,F,2022,0,,,,,,,S001221,,H0MI03316,,,,
N00030673,Bill Huizenga,Huizenga,R,MI04,M,2010,0,,202-225-4401,202-226-0779,http://huizenga.house.gov,http://huizenga.house.gov/contact/,2232 Rayburn House Office Building,H001058,38351,H0MI02094,RepHuizenga,https://youtube.com/RepHuizenga,RepHuizenga,1969-01-31
N00026368,Tim Walberg,Walberg,R,MI05,M,2010,0,,202-225-6276,202-225-6281,http://walberg.house.gov,https://walberg.house.gov/contact/contactform.htm,2436 Rayburn House Office Building,W000798,8618,H4MI07103,RepWalberg,https://youtube.com/RepWalberg,RepWalberg,1951-04-12
N00036149,Debbie Dingell,Dingell,D,MI06,F,2014,0,,202-225-4071,202-226-0371,https://debbiedingell.house.gov,,116 Cannon House Office Building,D000624,,H4MI12079,RepDebDingell,,RepDebbieDingell,1953-11-23
N00041357,Elissa Slotkin,Slotkin,D,MI07,F,2018,15,Running for Senate,202-225-4872,,https://slotkin.house.gov/,,1531 Longworth House Office Building,S001208,,S4MI00470,RepSlotkin,,,1976-07-10
N00033395,Dan Kildee,Kildee,D,MI08,M,2012,0,,202-225-3611,202-225-6393,http://dankildee.house.gov,https://dankildee.house.gov/contact/email-me,227 Cannon House Office Building,K000380,136102,H2MI05119,RepDanKildee,https://youtube.com/RepDanKildee,RepDanKildee,1958-08-11
N00045730,Lisa McClain,Mcclain,R,MI09,F,2020,0,,202225-2106,202226-1169,https://mcclain.house.gov/,,"218 Cannon House Office Building Washington, DC  20515",M001136,,,@RepLisaMcClain,,,04/07/66
N00041550,John James,James,R,MI10,M,2022,0,,,,,,,J000307,,H2MI10150,,,,
N00040915,Haley Stevens,Stevens,D,MI11,F,2018,0,,202-225-8171,,https://stevens.house.gov/,,227 Cannon House Office Building,S001215,,H8MI11254,RepHaleyStevens,,,1983-06-01
N00042649,Rashida Tlaib,Tlaib,D,MI12,F,2018,0,,202-225-5126,,https://tlaib.house.gov/,,1628 Longworth House Office Building,T000481,,H8MI13250,RepRashida,,,1976-07-24
N00049602,Shri Thanedar,Thanedar,D,MI13,M,2022,0,,,,,,,,,,,,,
N00029277,Gary Peters,Peters,D,MIS1,M,2014,0,,202-224-6221,202-226-2356,https://www.peters.senate.gov,https://www.peters.senate.gov/contact/email-gary,724 Hart Senate Office Building,P000595,8749,H8MI09068,SenGaryPeters,https://youtube.com/RepGaryPeters,SenGaryPeters,1958-12-01
N00004118,Debbie Stabenow,Stabenow,D,MIS2,F,2000,4,Retiring at end of 118th Congress,202-224-4822,202-228-0325,https://www.stabenow.senate.gov,http://www.stabenow.senate.gov/?p=contact,731 Hart Senate Office Building,S000770,515,S8MI00281,SenStabenow,https://youtube.com/senatorstabenow,SenatorStabenow,1950-04-29
