cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00036154,Don Norcross,Norcross,D,NJ01,M,2014,0,,202-225-6501,202-225-6583,https://norcross.house.gov,http://norcross.house.gov/contact,1531 Longworth House Office Building,N000188,,H4NJ01084,DonaldNorcross,,DonaldNorcrossNJ,1958-12-13
N00042164,Jeff Van Drew,Van Drew,R,NJ02,M,2018,0,,202-225-6572,,https://vandrew.house.gov/,,331 Cannon House Office Building,V000133,,,,,,1953-02-23
N00041370,Andy Kim,Kim,D,NJ03,M,2018,0,,202-225-4765,,https://kim.house.gov/,,1516 Longworth House Office Building,K000394,,,,,,1982-07-12
N00009816,Chris Smith,Smith,R,NJ04,M,1980,0,,202-225-3765,202-225-7768,http://chrissmith.house.gov,https://chrissmith.house.gov/contact/write.htm,2373 Rayburn House Office Building,S000522,26952,H8NJ04014,RepChrisSmith,https://youtube.com/USRepChrisSmith,RepChrisSmith,1953-03-04
N00036944,Josh Gottheimer,Gottheimer,D,NJ05,M,2016,0,,202-225-4465,,https://gottheimer.house.gov,,213 Cannon House Office Building,G000583,,,RepJoshG,,RepJoshG,1975-03-08
N00000781,Frank Pallone Jr.,Pallone,D,NJ06,M,1988,0,,202-225-4671,202-225-9665,https://pallone.house.gov,https://pallone.house.gov/contact-me/email-me,237 Cannon House Office Building,P000034,26951,H8NJ03073,FrankPallone,https://youtube.com/repfrankpallone,repfrankpallone,1951-10-30
N00041843,Tom Malinowski,Malinowski,D,NJ07,M,2018,0,,202-225-5361,,https://malinowski.house.gov/,,426 Cannon House Office Building,M001203,,,,,,1965-09-23
N00027523,Albio Sires,Sires,D,NJ08,M,2006,4,Retiring at end of 117th Congress,202-225-7919,202-226-0792,https://sires.house.gov,https://sires.house.gov/contact-me/email-me,2342 Rayburn House Office Building,S001165,22510,H6NJ13191,RepSires,https://youtube.com/RepSiresNJ13,RepAlbioSires,1951-01-26
N00000751,Bill Pascrell Jr.,Pascrell,D,NJ09,M,1996,0,,202-225-5751,202-225-5782,http://pascrell.house.gov,https://pascrell.house.gov/contact/email-me,2370 Rayburn House Office Building,P000096,478,H6NJ08118,BillPascrell,https://youtube.com/RepPascrell,pascrell,1937-01-25
N00034639,Donald M Payne Jr.,Payne,D,NJ10,M,2012,0,,202-225-3436,202-225-4160,http://payne.house.gov,http://payne.house.gov/contact/email-me,132 Cannon House Office Building,P000604,90668,H2NJ10154,RepDonaldPayne,,DonaldPayneJr,1958-12-17
N00041154,Mikie Sherrill,Sherrill,D,NJ11,F,2018,0,,202-225-5034,,https://sherrill.house.gov/,,1208 Longworth House Office Building,S001207,,,RepSherrill,,,1972-01-19
N00036158,Bonnie Watson Coleman,Coleman,D,NJ12,F,2014,0,,202-225-5801,202-225-6025,https://watsoncoleman.house.gov,,1535 Longworth House Office Building,W000822,,H4NJ12149,RepBonnie,,RepBonnie,1945-02-06
N00000699,Robert Menendez,Menendez,D,NJS1,M,2006,0,,202-224-4744,202-228-2197,https://www.menendez.senate.gov,https://www.menendez.senate.gov/contact,528 Hart Senate Office Building,M000639,26961,H2NJ13075,SenatorMenendez,https://youtube.com/SenatorMenendezNJ,senatormenendez,1954-01-01
N00035267,Cory Booker,Booker,D,NJS2,M,2013,0,,202-224-3224,202-224-8378,https://www.booker.senate.gov,https://www.booker.senate.gov/?p=contact,359 Dirksen Senate Office Building,B001288,76151,S4NJ00185,CoryBooker,https://youtube.com/SenCoryBooker,corybooker,1969-04-27
