cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00029404,Lee Zeldin,Zeldin,R,NY01,M,2014,16,Running for Governor,202-225-3826,202-225-3143,https://zeldin.house.gov,,1517 Longworth House Office Building,Z000017,,H8NY01148,RepLeeZeldin,,RepLeeZeldin,1980-01-30
N00046030,Andrew Garbarino,Garbarino,R,NY02,M,2020,0,,202225-7896,202226-2279,https://garbarino.house.gov/,,"1516 Longworth House Office Building, Washington, DC 20515",G000597,,,@RepGarbarino,,RepAndrewGarbarino,09/27/84
N00038742,Tom Suozzi,Suozzi,D,NY03,M,2016,16,Running for Governor,202-225-3335,202-225-4669,https://suozzi.house.gov,,226 Cannon House Office Building,S001201,,,RepTomSuozzi,,RepTomSuozzi,1962-08-31
N00035927,Kathleen Rice,Rice,D,NY04,F,2014,4,Retiring at end of 117th Congress,202-225-5516,202-225-5758,http://kathleenrice.house.gov,,1508 Longworth House Office Building,R000602,,H4NY04075,RepKathleenRice,,RepKathleenRice,1965-02-15
N00001171,Gregory Meeks,Meeks,D,NY05,M,1998,0,,202-225-3461,202-226-4169,http://meeks.house.gov,https://meeks.house.gov/contact-me/email-me,2234 Rayburn House Office Building,M001137,4360,H8NY06048,GregoryMeeks,https://youtube.com/gwmeeks,gregorymeeksny05,1953-09-25
N00034547,Grace Meng,Meng,D,NY06,F,2012,0,,202-225-2601,202-225-1589,http://meng.house.gov,https://meng.house.gov/contact/email-me,1317 Longworth House Office Building,M001188,69157,H2NY06116,RepGraceMeng,,repgracemeng,1975-10-01
N00001102,Nydia Velazquez,Velazquez,D,NY07,F,1992,0,,202-225-2361,202-226-0327,https://velazquez.house.gov,http://velazquez.house.gov/IMA/issue_subscribe.shtml,2302 Rayburn House Office Building,V000081,26975,H2NY00010,NydiaVelazquez,https://youtube.com/nydiavelazquez,8037068318,1953-03-28
N00033640,Hakeem Jeffries,Jeffries,D,NY08,M,2012,0,,202-225-5936,,http://jeffries.house.gov,https://jeffriesforms.house.gov/contact/,1607 Longworth House Office Building,J000294,55285,H2NY10092,RepJeffries,,RepHakeemJeffries,1970-08-04
N00026961,Yvette Clarke,Clarke,D,NY09,F,2006,0,,202-225-6231,202-226-0112,https://clarke.house.gov,https://clarke.house.gov/contact/email-me,2058 Rayburn House Office Building,C001067,44741,H4NY11138,RepYvetteClarke,https://youtube.com/repyvetteclarke,repyvettedclarke,1964-11-21
N00000939,Jerrold Nadler,Nadler,D,NY10,M,1992,0,,202-225-5635,202-225-6923,http://nadler.house.gov,https://jerroldnadler.house.gov/forms/writeyourrep/default.aspx,2109 Rayburn House Office Building,N000002,26980,H2NY17071,RepJerryNadler,https://youtube.com/congressmannadler,CongressmanNadler,1947-06-13
N00044040,Nicole Malliotakis,Malliotakis,R,NY11,F,2020,0,,202225-3371,,https://malliotakis.house.gov/,,"417 Cannon House Office Building, Washington, DC 20515",M000317,,,@RepMalliotakis,,,11/11/80
N00000078,Carolyn Maloney,Maloney,D,NY12,F,1992,20,Lost primary,202-225-7944,202-225-4709,http://maloney.house.gov,https://maloney.house.gov/contact-me/email-me,2308 Rayburn House Office Building,M000087,26978,H2NY14037,RepMaloney,,RepCarolynMaloney,1946-02-19
