cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00049718,Greg Landsman,Landsman,D,OH01,M,2022,0,,,,,,,L000601,,H2OH01194,,,,
N00033310,Brad Wenstrup,Wenstrup,R,OH02,M,2012,0,,202-225-3164,202-225-1992,http://wenstrup.house.gov,http://wenstrup.house.gov/contact/,2419 Rayburn House Office Building,W000815,135326,H2OH02085,RepBradWenstrup,https://youtube.com/repbradwenstrup,RepBradWenstrup,1958-06-17
N00033904,Joyce Beatty,Beatty,D,OH03,F,2012,0,,202-225-4324,202-225-1984,http://beatty.house.gov,https://beattyforms.house.gov/forms/writeyourrep/,133 Cannon House Office Building,B001281,2427,H2OH03125,RepBeatty,,RepJoyceBeatty,1950-03-12
N00027894,Jim Jordan,Jordan,R,OH04,M,2006,0,,202-225-2676,202-226-0577,http://jordan.house.gov,http://jordan.house.gov/contact/,2056 Rayburn House Office Building,J000289,8158,H6OH04082,Jim_Jordan,https://youtube.com/RepJimJordan,repjimjordan,1964-02-17
N00012233,Bob Latta,Latta,R,OH05,M,2007,0,,202-225-6405,202-225-1985,http://latta.house.gov,https://latta.house.gov/contact/contactform.htm,2448 Rayburn House Office Building,L000566,9926,H8OH05036,BobLatta,https://youtube.com/CongressmanBobLatta,boblatta,1956-04-18
N00032088,Bill Johnson,Johnson,R,OH06,M,2010,0,,202-225-5705,202-225-5907,http://billjohnson.house.gov,http://billjohnson.house.gov/contact/default.aspx,1710 Longworth House Office Building,J000292,120649,H0OH06189,RepBillJohnson,https://youtube.com/RepBillJohnson,RepBillJohnson,1954-11-10
N00048277,Max Miller,Miller,R,OH07,M,2022,0,,,,,,,M001222,,H2OH16051,,,,
N00038767,Warren Davidson,Davidson,R,OH08,M,2016,0,,202-225-6205,,https://davidson.house.gov,,1004 Longworth House Office Building,D000626,,H6OH08315,WarrenDavidson,,CongressmanWarrenDavidson,1970-03-01
N00003522,Marcy Kaptur,Kaptur,D,OH09,F,1982,0,,202-225-4146,202-225-7711,https://kaptur.house.gov,https://forms.house.gov/kaptur/webforms/issue_subscribe.shtml,2186 Rayburn House Office Building,K000009,27016,H2OH09031,RepMarcyKaptur,https://youtube.com/USRepMarcyKaptur,RepresentativeMarcyKaptur,1946-06-17
N00025175,Michael R Turner,Turner,R,OH10,M,2002,0,,202-225-6465,202-225-6754,https://turner.house.gov,http://turner.house.gov/contact/,2368 Rayburn House Office Building,T000463,45519,H2OH03067,RepMikeTurner,https://youtube.com/CongressmanTurner,RepMikeTurner,1960-01-11
N00047875,Shontel Brown,Brown,D,OH11,F,2021,0,,,,,,,,,,,,,
N00042194,Troy Balderson,Balderson,R,OH12,M,2018,0,,202-225-5355,,https://balderson.house.gov/,,1221 Longworth House Office Building,B001306,,H8OH12180,RepBalderson,,,1962-01-16
N00050165,Emilia Sykes,Sykes,D,OH13,F,2022,0,,,,,,,S001223,,H2OH13264,,,,
N00035007,David P Joyce,Joynce,R,OH14,M,2012,0,,202-225-5731,202-225-3307,https://joyce.house.gov,https://joyce.house.gov/email-me,1124 Longworth House Office Building,J000295,143052,H2OH14064,RepDaveJoyce,https://youtube.com/repdavejoyce,RepDaveJoyce,1957-03-17
N00048568,Mike Carey,Carey,R,OH15,M,2021,0,,,,,,,,,,,,,
N00003535,Sherrod Brown,Brown,D,OHS1,M,2006,0,,202-224-2315,202-228-6321,https://www.brown.senate.gov,http://www.brown.senate.gov/contact/,713 Hart Senate Office Building,B000944,27018,H2OH13033,SenSherrodBrown,https://youtube.com/SherrodBrownOhio,SenatorSherrodBrown,1952-11-09
N00048832,J D Vance,Vance,R,OHS2,M,2022,0,,,,,,,V000137,,S2OH00436,,,,
