cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00046688,Diana Harshbarger,Harshbarger,R,TN01,F,2020,0,,202225-6356,202225-5714,https://harshbarger.house.gov/,,"167 Cannon House Office Building Washington, DC  20515",H001086,,,@RepHarshbarger,,,
N00041594,Tim Burchett,Burchett,R,TN02,M,2018,0,,202-225-5435,,https://burchett.house.gov/,,1122 Longworth House Office Building,B001309,,,RepTimBurchett,,,1964-08-25
N00030815,Chuck Fleischmann,Fleischmann,R,TN03,M,2010,0,,202-225-3271,202-225-3494,http://fleischmann.house.gov,https://fleischmann.house.gov/contact-me/email-me,2410 Rayburn House Office Building,F000459,123456,H0TN03254,RepChuck,https://youtube.com/repchuck,repchuck,1962-10-11
N00030957,Scott Desjarlais,Desjarlais,R,TN04,M,2010,0,,202-225-6831,202-226-5172,https://desjarlais.house.gov,http://desjarlais.house.gov/contact/email-me,2301 Rayburn House Office Building,D000616,123473,H0TN04195,DesJarlaisTN04,https://youtube.com/ScottDesJarlaisTN04,ScottDesJarlaisTN04,1964-02-21
N00003132,Jim Cooper,Cooper,D,TN05,M,2002,4,Retiring at end of 117th Congress,202-225-4311,202-226-1035,http://cooper.house.gov,https://cooper.house.gov/contact/email-me,1536 Longworth House Office Building,C000754,48891,H2TN05131,RepJimCooper,https://youtube.com/RepJimCooper,JimCooper,1954-06-19
N00041599,John Rose,Rose,R,TN06,M,2018,0,,202-225-4231,,https://johnrose.house.gov/,,1232 Longworth House Office Building,R000612,,,,,,1965-02-23
N00041873,Mark Green,Green,R,TN07,M,2018,0,,202-225-2811,,https://markgreen.house.gov,,533 Cannon House Office Building,G000590,,,RepMarkGreen,,,1964-11-08
N00025445,David Kustoff,Kustoff,R,TN08,M,2016,0,,202-225-4714,,https://kustoff.house.gov,,508 Cannon House Office Building,K000392,,,repdavidkustoff,,RepDavidKustoff,1966-10-08
N00003225,Steve Cohen,Cohen,D,TN09,M,2006,0,,202-225-3265,202-225-5663,https://cohen.house.gov,https://cohen.house.gov/contact-me/email-me,2404 Rayburn House Office Building,C001068,24340,H6TN09068,RepCohen,https://youtube.com/repcohen,CongressmanSteveCohen,1949-05-24
N00003105,Marsha Blackburn,Blackburn,R,TNS1,F,2018,0,,202-225-2811,202-225-3004,http://blackburn.house.gov,https://blackburn.house.gov/contactform/email.htm,2266 Rayburn House Office Building,B001243,25186,H2TN06030,MarshaBlackburn,https://youtube.com/RepMarshaBlackburn,marshablackburn,1952-06-06
N00045369,Bill Hagerty,Hagerty,R,TNS2,M,2020,0,,202224-4944,,https://www.hagerty.senate.gov/,,"Russell Senate Office Building Suite SR-B11  Washington, DC 20002",H000601,128466,,@SenatorHagerty,,,08/14/59
