cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00029459,Rob Wittman,Wittman,R,VA01,M,2007,0,,202-225-4261,202-225-4382,http://wittman.house.gov,https://wittman.house.gov/contact-form/,2055 Rayburn House Office Building,W000804,58133,H8VA01147,RobWittman,https://youtube.com/RobWittman,RepRobWittman,1959-02-03
N00042293,Elaine Luria,Luria,D,VA02,F,2018,0,,202-225-4215,,https://luria.house.gov/,,534 Cannon House Office Building,L000591,,,RepElaineLuria,,,1975-08-15
N00002147,Bobby Scott,Scott,D,VA03,M,1992,0,,202-225-8351,202-225-8354,http://bobbyscott.house.gov,https://bobbyscott.house.gov/email-bobby-scott,1201 Longworth House Office Building,S000185,27117,H6VA01117,BobbyScott,https://youtube.com/repbobbyscott,RepBobbyScott,1947-04-30
N00039327,Donald McEachin,Mceachin,D,VA04,M,2016,0,,202-225-6365,,https://mceachin.house.gov,,314 Cannon House Office Building,M001200,,,RepMcEachin,,RepMcEachin,1961-10-10
N00045557,Bob Good,Good,R,VA05,M,2020,0,,202225-4711,202225-5681,https://good.house.gov/,,"1213 Longworth House Office Building, Washington, DC 20515",456853,,,@RepBobGood,,,09/11/65
N00042296,Ben Cline,Cline,R,VA06,M,2018,0,,202-225-5431,,https://cline.house.gov/,,1009 Longworth House Office Building,C001118,,,RepBenCline,,,1972-02-29
N00041418,Abigail Spanberger,Spanberger,D,VA07,F,2018,0,,202-225-2815,,https://spanberger.house.gov/,,1239 Longworth House Office Building,S001209,,,RepSpanberger,,,1979-08-07
N00036018,Don Beyer,Beyer,D,VA08,M,2014,0,,202-225-4376,202-225-0017,http://beyer.house.gov,,1119 Longworth House Office Building,B001292,,H4VA08224,repdonbeyer,,repdonbeyer,1950-06-20
N00032029,Morgan Griffith,Griffith,R,VA09,M,2010,0,,202-225-3861,202-225-0076,http://morgangriffith.house.gov,https://morgangriffith.house.gov/contact/contactform.htm,2202 Rayburn House Office Building,G000568,5148,H0VA09055,RepMGriffith,https://youtube.com/RepMorganGriffith,RepMorganGriffith,1958-03-15
N00041002,Jennifer Wexton,Wexton,D,VA10,F,2018,0,,202-225-5136,,https://wexton.house.gov/,,1217 Longworth House Office Building,W000825,,,RepWexton,,,1968-05-27
N00029891,Gerry Connolly,Connolly,D,VA11,M,2008,0,,202-225-1492,202-225-3071,https://connolly.house.gov,https://forms.house.gov/connolly/contact-form.shtml,2238 Rayburn House Office Building,C001078,95078,H8VA11062,GerryConnolly,https://youtube.com/repconnolly,CongressmanGerryConnolly,1950-03-30
N00033177,Tim Kaine,Kaine,D,VAS1,M,2012,0,,202-224-4024,202-228-6363,https://www.kaine.senate.gov,https://www.kaine.senate.gov/contact,231 Russell Senate Office Building,K000384,50772,S2VA00142,SenKaineOffice,https://youtube.com/SenatorTimKaine,SenatorKaine,1958-02-26
N00002097,Mark Warner,Warner,D,VAS2,M,2008,0,,202-224-2023,202-224-6295,https://www.warner.senate.gov,http://www.warner.senate.gov/public/index.cfm?p=Contact,703 Hart Senate Office Building,W000805,535,S6VA00093,MarkWarner,https://youtube.com/SenatorMarkWarner,MarkRWarner,1954-12-15
