cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00030693,Suzan DelBene,Delbene,D,WA01,F,2012,0,,202-225-6311,202-226-1606,https://delbene.house.gov,http://delbene.house.gov/contact-me/email-me,2442 Rayburn House Office Building,D000617,126272,H0WA08046,RepDelBene,,RepDelBene,1962-02-17
N00009759,Rick Larsen,Larsen,D,WA02,M,2000,0,,202-225-2605,202-225-4420,http://larsen.house.gov,http://larsen.house.gov/contact-rick/email-rick,2113 Rayburn House Office Building,L000560,56231,H0WA02080,RepRickLarsen,https://youtube.com/congressmanlarsen,RepRickLarsen,1965-06-15
N00031559,Jaime Herrera Beutler,Beutler,R,WA03,F,2010,20,Lost primary,202-225-3536,202-225-3478,http://herrerabeutler.house.gov,http://herrerabeutler.house.gov/contact/,1107 Longworth House Office Building,H001056,101907,H0WA03187,HerreraBeutler,https://youtube.com/RepHerreraBeutler,herrerabeutler,1978-11-03
N00036403,Dan Newhouse,Newhouse,R,WA04,M,2014,0,,202-225-5816,202-225-3251,https://newhouse.house.gov,,1318 Longworth House Office Building,N000189,,H4WA04104,RepNewhouse,,RepNewhouse,1955-07-10
N00026314,Cathy McMorris Rodgers,Rodgers,R,WA05,F,2004,0,,202-225-2006,202-225-3392,http://mcmorris.house.gov,https://mcmorrisforms.house.gov/write-to-cathy1,1314 Longworth House Office Building,M001159,3217,H4WA05077,CathyMcMorris,https://youtube.com/mcmorrisrodgers,mcmorrisrodgers,1969-05-22
N00034453,Derek Kilmer,Kilmer,D,WA06,M,2012,0,,202-225-5916,,https://kilmer.house.gov,https://kilmer.house.gov/contact/email-me,1520 Longworth House Office Building,K000381,51516,H2WA06129,RepDerekKilmer,,derek.kilmer,1974-01-01
N00038858,Pramila Jayapal,Jayapal,D,WA07,F,2016,0,,202-225-3106,,https://jayapal.house.gov,,319 Cannon House Office Building,J000298,,,RepJayapal,,RepJayapal,1965-09-21
N00041606,Kim Schrier,Schrier,D,WA08,F,2018,0,,202-225-7761,,https://schrier.house.gov/,,1123 Longworth House Office Building,S001216,,,RepKimSchrier,,,1968-08-23
N00007833,Adam Smith,Smith,D,WA09,M,1996,0,,202-225-8901,202-225-5893,https://adamsmith.house.gov,https://adamsmith.house.gov/contact/contactform.htm,2264 Rayburn House Office Building,S000510,845,H6WA09025,RepAdamSmith,https://youtube.com/CongressmanAdamSmith,RepAdamSmith,1965-06-15
N00046320,Marilyn Strickland,Strickland,D,WA10,F,2020,0,,202225-9740,,https://strickland.house.gov/,,"1004 Longworth House Office Building Washington, DC  20515",S001159,,,@RepStricklandWA,,,09/25/62
N00007836,Maria Cantwell,Cantwell,D,WAS1,F,2000,0,,202-224-3441,202-228-0514,https://www.cantwell.senate.gov,http://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,C000127,27122,S8WA00194,SenatorCantwell,https://youtube.com/SenatorCantwell,senatorcantwell,1958-10-13
N00007876,Patty Murray,Murray,D,WAS2,F,1992,0,,202-224-2621,202-224-0238,https://www.murray.senate.gov/public,http://www.murray.senate.gov/public/index.cfm/contactme,154 Russell Senate Office Building,M001111,53358,S2WA00189,PattyMurray,https://youtube.com/SenatorPattyMurray,pattymurray,1950-10-11
